sim	gammaShape	gammaScale	cumAbs
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.37869767878
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.40179192666
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.45496851229
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.50354280144
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.40972685245
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.39407807995
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.46985219815
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.39838618776
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.33204576699
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.3388818495
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.37478879993
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.33497605408
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.32491188979
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.40028432842
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.38375809134
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.4516774465
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.41390948425
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.3645939858
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.41713305458
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.34254366993
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.41338341645
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.36792441953
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.3634463693
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.3573842044
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.37257363205
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.39980198189
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.3900675339
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.39811113044
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.39951389863
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.40926782476
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.43313388538
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.36078629628
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.46154749884
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.33427844727
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.34840983923
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.43455867455
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.3528849368
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.39511625737
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.37148348667
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.34246147133
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.41084447479
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.44371309982
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.39104120973
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.44689564186
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.38656363974
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.46376759455
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.42325267853
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.50542535067
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.34744377126
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.39060682505
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.37151457046
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.39552786027
ABC_300/ABCOpt10/7/	1.0	35.501468273	-1.36874713119
