sim	gammaShape	gammaScale	cumAbsMean	cumRelMean	HS-MM_mean	HS-MM_min	HS-MM_max
ABC_100/ABCOpt/7/	1.0	37.2716445209	0.563417221626	1.09034137397	-0.453347362236	-0.669528258734	-0.268956724827
ABC_200/ABCOpt/7/	1.0	12.3567162193	0.566307726967	1.09349757084	-0.464680177245	-0.692855801017	-0.339720423301
ABC_201/ABCOpt/7/	1.0	17.7084624311	0.568249983202	1.09562348718	-0.457123793148	-0.73605491323	-0.296699267957
ABC_300/ABCOpt/7/	1.0	149.826250574	0.527811315243	1.0522018073	-0.418209281	-0.628359855741	-0.247318985422
ABC_300/ABCOpt1/7/	1.0	86.832754656	0.546735224685	1.07230317739	-0.415848291735	-0.620596136457	-0.224660546235
ABC_300/ABCOpt10/7/	1.0	35.501468273	0.572718537025	1.1005302947	-0.466309232373	-0.73727217966	-0.332438590708
ABC_300/ABCOpt11/7/	1.0	62.3390194451	0.550451504652	1.07629557004	-0.439693173552	-0.684416915039	-0.264426938498
ABC_300/ABCOpt12/7/	1.0	24.4849356809	0.565027462189	1.09209850019	-0.45313523714	-0.620913893936	-0.291492645716
ABC_300/ABCOpt13/7/	1.0	217.283361046	0.5232284808	1.04739077312	-0.433324882439	-0.619649776137	-0.281087021343
ABC_300/ABCOpt14/7/	1.0	126.197599118	0.546203591925	1.0717332574	-0.433102352648	-0.595835374909	-0.272130698668
ABC_300/ABCOpt15/7/	1.0	129.287130961	0.543655822448	1.06900620355	-0.423904503923	-0.641797639165	-0.258419705184
ABC_300/ABCOpt16/7/	1.0	193.238656296	0.535192657313	1.05999720362	-0.410011267708	-0.618259539842	-0.260171807423
ABC_300/ABCOpt17/7/	1.0	172.896820779	0.542561572066	1.06783708287	-0.433534778342	-0.607691826782	-0.25204937573
ABC_300/ABCOpt18/7/	1.0	74.9019377622	0.549286537378	1.07504245098	-0.430553379529	-0.642439430936	-0.185128551964
ABC_300/ABCOpt19/7/	1.0	221.707781259	0.542933545059	1.06823436331	-0.423112265503	-0.667012186002	-0.251111962156
ABC_300/ABCOpt2/7/	1.0	1.37222900344	0.577490799016	1.10579486556	-0.457267638521	-0.667992195511	-0.33521320762
ABC_300/ABCOpt20/7/	1.0	139.628312288	0.544828124131	1.07026013617	-0.443188830336	-0.656038095487	-0.27501864257
ABC_300/ABCOpt21/7/	1.0	239.303576117	0.500560203406	1.02391530795	-0.415887493703	-0.623512974636	-0.231343547214
ABC_300/ABCOpt22/7/	1.0	69.3675366958	0.556699823724	1.08304166209	-0.451376093214	-0.719254531594	-0.273967244571
ABC_300/ABCOpt23/7/	1.0	88.2497653495	0.568723172043	1.09614204667	-0.449649783433	-0.651763582936	-0.274812270676
ABC_300/ABCOpt24/7/	1.0	17.5210916579	0.554590595661	1.08075968767	-0.453417232155	-0.630000807946	-0.260831553639
ABC_300/ABCOpt25/7/	1.0	201.281704006	0.52267805661	1.04681442254	-0.397251479206	-0.59258353817	-0.211581017003
ABC_300/ABCOpt26/7/	1.0	156.429058438	0.53783361389	1.06280031001	-0.420260712326	-0.621971586024	-0.245911411095
ABC_300/ABCOpt27/7/	1.0	202.457071305	0.513570912934	1.03732421313	-0.421267590067	-0.64093005761	-0.297677018572
ABC_300/ABCOpt28/7/	1.0	94.6507084455	0.542790687471	1.06808176883	-0.441887848397	-0.656073359499	-0.27988222197
ABC_300/ABCOpt29/7/	1.0	229.843069417	0.521207063713	1.04527569796	-0.420309749256	-0.655639603587	-0.215956529487
ABC_300/ABCOpt3/7/	1.0	87.2641329596	0.547860063254	1.07351002399	-0.44774947871	-0.608562973511	-0.291062751916
ABC_300/ABCOpt30/7/	1.0	188.111957373	0.519646401044	1.04364564751	-0.413233547816	-0.64556925255	-0.265759090333
ABC_300/ABCOpt31/7/	1.0	203.738255786	0.505155547506	1.0286313788	-0.412111347889	-0.637382887959	-0.260740972255
ABC_300/ABCOpt32/7/	1.0	9.60298169879	0.572095569293	1.09984491335	-0.443499117077	-0.703588719201	-0.289368103052
ABC_300/ABCOpt33/7/	1.0	205.940008678	0.521086024255	1.04514918601	-0.408226117787	-0.557445038064	-0.24574606271
ABC_300/ABCOpt34/7/	1.0	238.621221713	0.497984566585	1.02128146734	-0.420075567108	-0.657435124545	-0.232443599994
ABC_300/ABCOpt35/7/	1.0	183.226108939	0.529114390259	1.0535737989	-0.413767846911	-0.591985304591	-0.23177221243
ABC_300/ABCOpt36/7/	1.0	111.619632843	0.548984833915	1.07471815588	-0.436867379112	-0.626483023855	-0.236054071063
ABC_300/ABCOpt37/7/	1.0	154.918361806	0.526272049186	1.05058343464	-0.413231854868	-0.621280513511	-0.151216846177
ABC_300/ABCOpt38/7/	1.0	68.5121344976	0.552144067641	1.07811881062	-0.441101417625	-0.644126406194	-0.223431193921
ABC_300/ABCOpt4/7/	1.0	205.966650615	0.508735855743	1.03232079689	-0.397363586089	-0.613953025701	-0.238499033884
ABC_300/ABCOpt5/7/	1.0	106.438750665	0.573786787085	1.10170656442	-0.439379957241	-0.646329960806	-0.284012896597
ABC_300/ABCOpt6/7/	1.0	145.378232012	0.52871947006	1.05315780347	-0.42251225187	-0.66319047561	-0.259523601773
ABC_300/ABCOpt7/7/	1.0	41.2662265776	0.559101624226	1.08564603845	-0.453926640502	-0.621808514556	-0.298225293723
ABC_300/ABCOpt8/7/	1.0	107.486565967	0.544175443519	1.06956182604	-0.442890064899	-0.615337692743	-0.243380806512
ABC_300/ABCOpt9/7/	1.0	92.6814458832	0.533081480191	1.05776172235	-0.440464238365	-0.719916450314	-0.278923843242
ABC_40/ABCOpt/7/	1.0	115.193070637	0.551214836668	1.07711745455	-0.442612931717	-0.626040920156	-0.275296069908
ABC_400/ABCOpt/7/	1.0	77.6139433154	0.542959447208	1.06826203324	-0.436412775038	-0.63320695561	-0.278126980675
ABC_400/ABCOpt1/7/	1.0	64.1951711475	0.555766529791	1.08203133742	-0.446363760146	-0.622093636509	-0.251231617334
ABC_400/ABCOpt2/7/	1.0	203.412840226	0.531139827893	1.05570990947	-0.409795595967	-0.693552636407	-0.236423732501
ABC_400/ABCOpt3/7/	1.0	141.919125868	0.535159319542	1.05996186626	-0.430615417236	-0.605721072014	-0.273150001073
ABC_400/ABCOpt4/7/	1.0	195.102848058	0.521038581229	1.04509960215	-0.405909668596	-0.662767132496	-0.252366508886
ABC_44/ABCOpt/7/	1.0	102.725433934	0.553533949947	1.0796183107	-0.431356403226	-0.697595936094	-0.267765886815
ABC_450/ABCOpt/7/	1.0	24.9889374966	0.57268549628	1.10049393296	-0.455820404338	-0.638045736025	-0.262606491436
ABC_450/ABCOpt1/7/	1.0	236.73949752	0.506740598642	1.03026310498	-0.397510525142	-0.572430914693	-0.218918710152
ABC_450/ABCOpt10/7/	1.0	179.992172936	0.511827319193	1.03551711701	-0.418077529549	-0.610757595297	-0.204125462558
ABC_450/ABCOpt11/7/	1.0	146.358080659	0.547892899531	1.07354527464	-0.435752418603	-0.663354221342	-0.285271899775
ABC_450/ABCOpt12/7/	1.0	23.2465687131	0.567655469723	1.09497231783	-0.440247840987	-0.748408888205	-0.267968849918
ABC_450/ABCOpt13/7/	1.0	82.3494732261	0.5459402644	1.07145107769	-0.447119962254	-0.645371863103	-0.279751986678
ABC_450/ABCOpt14/7/	1.0	180.924204659	0.510117522443	1.03374810596	-0.416461859391	-0.660475477366	-0.249465456226
ABC_450/ABCOpt15/7/	1.0	68.0430029442	0.558610743204	1.08511324619	-0.453564960158	-0.696034060983	-0.282298909435
ABC_450/ABCOpt16/7/	1.0	189.081496932	0.517667281558	1.04158219066	-0.416853037163	-0.612355699403	-0.215392485216
ABC_450/ABCOpt17/7/	1.0	4.04179796054	0.564465458788	1.09148490956	-0.462018262946	-0.752713351293	-0.281243144511
ABC_450/ABCOpt18/7/	1.0	65.8378297419	0.558070640321	1.08452733164	-0.447668872082	-0.604309451303	-0.264858407719
ABC_450/ABCOpt19/7/	1.0	30.4242143566	0.552793018065	1.07881868335	-0.446151239823	-0.652661153739	-0.297793929931
ABC_450/ABCOpt2/7/	1.0	209.7984803	0.522602306628	1.04673512937	-0.427566327369	-0.657255414153	-0.256037061066
ABC_450/ABCOpt20/7/	1.0	55.275738534	0.546556802865	1.07211187217	-0.433024252549	-0.614835935247	-0.300810915928
ABC_450/ABCOpt21/7/	1.0	170.459267282	0.530606915079	1.05514745801	-0.429666996946	-0.726611835669	-0.219493499322
ABC_450/ABCOpt22/7/	1.0	122.273365592	0.551110520065	1.07700509917	-0.436287626824	-0.695855273645	-0.291656198378
ABC_450/ABCOpt23/7/	1.0	155.568576369	0.537159075535	1.06208365217	-0.424136257602	-0.632774672053	-0.211294056999
ABC_450/ABCOpt24/7/	1.0	159.56994215	0.5308796127	1.05543523345	-0.430205302492	-0.617096797349	-0.271623995133
ABC_450/ABCOpt25/7/	1.0	46.8396552813	0.573588372143	1.10148799106	-0.457607605777	-0.681861200663	-0.307367173096
