sim	gammaShape	gammaScale	cumAbs
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.642453005811
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.5727440728
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.527007231806
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.582276125261
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.473830307201
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.517724444071
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.736367211902
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.629902637639
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.542911077244
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.56605700203
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.629955233912
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.51401700537
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.514849076736
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.73940734809
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.592893374285
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.619588147117
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.731510972342
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.56909958186
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.554777179167
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.647086146262
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.545560588233
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.533226685047
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.593637515374
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.41911604078
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.505739124902
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.510370786663
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.498772331119
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.485926859332
ABC_300/ABCOpt10/7/	1.0	35.501468273	-0.552339310019
