sim	gammaShape	gammaScale	cumAbs
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.36757893821
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.42583106543
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.41293866371
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.40203879143
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.47610791746
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.44328422707
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.44452393934
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.42467132805
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.48524257055
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.40104842043
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.41163969337
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.45675330705
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.45691787612
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.32181160461
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.35226020741
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.41999206832
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.44532132331
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.39545458597
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.42036454409
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.42186656595
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.43546735885
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.40670529346
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.49479117406
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.41547705354
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.46590088519
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.48589787006
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.38924582006
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.47856398866
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.41664414186
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.44328478625
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.44500811364
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.41860250262
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.4045194434
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.39623264725
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.41593997197
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.39467677113
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.32747929671
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.47763085091
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.43354545772
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.46847282005
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.43082747509
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.45667932928
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.51032383514
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.47479472434
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.43729789972
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.48001541679
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.42061088793
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.45603148743
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.39789685781
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.51361828792
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.48518797971
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.41079744184
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.46353497369
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.50588155679
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.4114705971
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.38358848741
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.41169383209
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.44490197742
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.43996468315
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.44315648507
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.38705492929
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.32722315162
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.41023587663
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.37732814168
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.40289395478
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.39054085769
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.44518062818
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.46897526101
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.44136649749
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.43747319109
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.45535979204
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.43662933115
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.41795381755
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.45667845335
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.46725707614
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.4588273436
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.41575294015
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.394268887
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.41161263684
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.40601113615
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.4707618333
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.39358030072
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.49277517984
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.42930763392
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.46328628599
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.47275636806
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.47327530719
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.40073047309
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.3971285934
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.44090661568
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.38004652207
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.44188362724
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.42920914267
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.37338906027
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.44702140765
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.45097918287
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.41816620963
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.40282568146
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.34730157692
ABC_300/ABCOpt10/7/	1.0	35.501468273	-2.35711940982
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.40146958857
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.36767231887
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.31089013276
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.36050654652
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.31385026909
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.2944967042
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.30482346397
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.29643890015
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.31566338453
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.28457298875
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.29316482628
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.35743194254
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.36118429488
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.315949793
ABC_460/ABCOpt17/7/	1.0	238.578008023	-2.31441227835
