"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",38.6742424242,33.954004329,3.76619047619,334.785714286,54.4718181818,138.151428571,2.83333333333,3.49188311688,4.39015151515,232.863095238,266.477813853,2.66233766234,31.8333333333,187.579004329,32.6114285714,2.33333333333,23.0714285714,2.84090909091,132.5,0.833333333333,9.5,3.33761904762,0,27.2594588745
"2",172.99859944,342.30925643,8.43782785842,64.36,214.298051948,24.9397759104,11.6302521008,3.71926406926,146.19859944,26.6421568627,9.86639928699,8.61904761905,20.1183473389,18.9909090909,250.844970716,2.73333333333,2.46358543417,6.81613190731,3.95882352941,4.47186147186,2.47619047619,101.971428571,0.166666666667,61.7986503692
"3",105.916666667,3.43333333333,18.1833333333,2.7380952381,72.3,105.3,6.5,2.53535353535,3.03333333333,1.83333333333,81.7619047619,158.833333333,2.93333333333,22.3,116.2,2.25,140.088888889,28.5,0.1,1.25,121.0,2.07142857143,1.0,115.940909091
"4",16.7777777778,62.3775757576,19.9133333333,90.8832106782,162.922222222,5.92090909091,267.016111111,4.71045454545,6.47181818182,11.8709090909,5.82,4.825,90.7611111111,1.04,2.79757575758,211.081666667,2.78833333333,40.6511111111,61.9677777778,0.590909090909,2.0,4.00911976912,0,5.45454545455
"5",118.141666667,4.65,315.795833333,5.60833333333,4.16666666667,1.64583333333,27.7083333333,131.858639971,241.095833333,2.83333333333,9.37202380952,1.5,20.25,4.3125,3.2625,2.65833333333,3.06111111111,1.0,0.458333333333,12.0,2.0,2.11858974359,0,6.6007034632
"6",22.1666666667,11.8333333333,19.75,1.0,213.033333333,4.7,75.75,201.772727273,2.28333333333,3.5,3.47619047619,2.86666666667,14.25,16.0,4.5,0.7,64.5,0.5,10.8333333333,0.583333333333,0,33.0,0,4.77272727273
"LGb",1.0,0.2,0,0,0,0,0,0,53.2,0,0.2,0.2,0,0,0,0,0.2,0,0,0,0,1.0,0,0
"LGc",0,1.0,0,0,1.0,0,0,0,0,2.0,0,0,0,0,0,0,0.666666666667,0,0,44.3333333333,0,0,0,1.0
"LGa",0,0,0,0,0,0,0,0,0,0,19.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0
"LGf",0,0,0,1.5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,50.9230769231,0,0
"LGh",0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGg",2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
