"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","X"
"1",201,33,17,27,56,128,109,44,14,215,12,226,8,65,226,61,55,71,45,139,19,60,1,246,4,11,15,13,3,64,95,96
"2",54,12,14,17,30,244,120,25,3,69,251,4,14,292,21,266,6,27,6,214,105,10,264,2,28,3,5,6,1,1,0,95
"3",225,33,18,20,61,94,112,24,10,23,16,9,9,23,34,107,184,22,191,6,9,13,1,5,3,136,3,10,2,3,2,176
"4",44,147,30,21,264,19,43,115,235,17,5,19,7,251,8,24,6,12,4,117,35,191,4,3,11,4,3,8,2,37,1,36
"5",25,157,176,158,12,186,14,9,1,11,9,2,1,14,9,13,0,0,5,2,7,4,2,4,1,3,56,292,33,0,1,20
"6",4,2,44,219,3,5,5,9,1,33,282,6,0,11,200,86,0,2,0,0,15,1,1,1,18,0,8,1,85,2,0,6
"LGb",0,0,0,0,0,0,0,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGc",1,0,47,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"LGa",0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGf",0,0,0,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"LGh",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
