"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","X"
"1",116,4,2,2,30,86,74,19,1,165,1,197,0,28,184,25,42,53,26,93,4,41,0,178,1,9,11,1,0,58,79,12
"2",27,3,6,2,13,146,79,12,1,4,223,3,4,268,17,235,5,20,3,59,97,1,146,1,23,0,2,0,0,0,0,57
"3",166,10,2,1,39,73,82,1,1,0,1,2,3,1,21,75,162,16,177,2,0,1,0,0,0,119,1,0,0,0,0,116
"4",8,124,16,2,226,1,2,89,211,1,1,0,2,28,0,1,0,5,1,98,32,161,1,2,7,2,1,2,0,32,0,3
"5",1,143,152,134,2,161,7,2,0,1,2,0,1,0,3,0,0,0,0,1,0,0,1,1,1,2,50,262,26,0,1,1
"6",1,0,17,197,0,0,0,7,0,26,226,1,0,7,17,72,0,1,0,0,11,0,1,1,18,0,8,0,77,1,0,2
"LGb",0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGc",1,0,46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"LGa",0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGf",0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"LGh",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
