"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",120,5,58,13,27,95,269,43,23,437,320,80,78,5,316,4,166,1,15
"2",16,4,11,231,23,404,24,410,19,173,36,97,14,244,14,269,43,16,61
"3",26,4,166,2,7,185,29,29,18,5,11,157,396,2,102,12,105,5,15
"4",107,233,9,30,114,135,186,36,56,131,44,37,20,21,78,7,334,2,21
"5",7,7,8,533,12,16,7,180,391,16,35,39,18,9,16,8,23,1,27
"6",5,2,0,82,8,32,56,234,36,3,3,11,82,19,11,278,6,0,41
"LGb",1,0,0,0,67,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"LGc",0,0,1,0,0,0,1,0,1,0,3,0,0,0,0,1,0,1,57
"LGa",0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,0,0,0
"LGf",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,94
"LGh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"LGg",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
