"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",86,1,48,1,20,72,228,4,11,332,235,22,60,0,265,1,130,0,0
"2",5,0,1,144,12,354,17,342,9,60,23,59,5,166,4,213,29,5,7
"3",21,2,155,0,2,164,22,3,11,1,8,118,366,0,78,1,95,2,1
"4",99,201,2,2,88,59,160,4,23,99,10,3,4,7,2,2,278,2,0
"5",1,0,1,450,2,0,3,133,321,3,2,1,2,2,6,2,1,1,10
"6",1,0,0,69,8,19,15,195,25,0,3,2,70,17,1,219,2,0,34
"LGb",0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGc",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,45
"LGa",0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,0,0,0
"LGf",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55
"LGh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"LGg",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
