"1","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","X","2a","2b"
"1",156,61,6,46,409,19,26,5,19,301,11,43,257,57,4,10,17,14,49,12,1,68,198,151
"2",38,286,23,443,202,26,11,256,6,14,215,7,25,8,24,184,16,206,7,2,6,88,22,30
"3",41,284,18,10,6,18,10,3,169,101,5,177,2,16,2,9,1,18,4,119,1,155,29,94
"4",422,12,28,190,108,16,242,16,5,100,6,3,9,14,0,41,87,16,181,4,5,9,3,10
"5",10,8,342,10,12,146,26,4,33,9,309,0,4,6,11,2,2,11,2,0,164,21,5,1
"6",15,80,47,288,12,217,11,21,95,10,9,1,2,3,4,15,6,40,1,0,3,6,181,7
"LGb",1,0,0,1,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,1,0,3,0
"LGc",0,0,0,0,0,1,0,0,0,1,0,0,3,0,46,1,0,0,1,0,0,0,0,0
"LGa",0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"LGf",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,91,1,0,0,0,0,0
"LGh",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGg",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
