"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",145,64,33,404,9,36,308,19,8,51,9,127,228,295,5,8,47,20,13,1,79
"2",62,250,24,199,10,372,28,12,6,10,252,16,27,10,298,260,7,15,259,32,91
"3",35,276,135,9,15,8,13,4,164,3,2,79,40,101,2,10,174,1,17,2,144
"4",415,9,17,118,24,260,16,228,9,190,9,8,2,116,13,2,2,92,14,2,17
"5",12,12,150,9,334,6,9,20,35,164,305,2,7,9,4,5,0,1,9,13,22
"6",14,79,218,1,45,16,4,10,83,5,5,3,392,10,18,284,1,5,41,0,8
"LGb",0,2,1,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
"LGc",1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,46,1
"LGa",0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0
"LGf",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0
"LGh",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
