"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Y","X"
"1",441,333,231,6,5,15,360,6,47,74,41,2,73,72,192,27,47,3,0,61
"2",395,383,56,16,212,59,287,8,12,45,6,217,289,26,30,147,8,0,1,68
"3",8,11,27,48,2,18,3,6,101,1,223,9,410,174,93,2,3,3,7,125
"4",80,369,12,412,8,210,122,36,78,32,1,5,13,16,9,40,157,4,0,7
"5",22,5,17,6,481,18,4,329,82,36,3,7,6,7,35,4,21,108,1,15
"6",27,24,64,4,8,41,3,52,149,90,0,262,85,2,7,2,6,92,0,6
"LGb",0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0
"LGc",1,0,0,0,0,27,3,0,0,0,0,1,1,0,0,0,0,0,0,0
"LGa",0,0,2,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"LGf",0,0,0,0,0,66,1,0,1,0,0,1,0,0,0,0,2,0,0,0
"LGh",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGd",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
