"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","X"
"1",1,3,2,1,14,1,4,1,1,4,3,4,0,0,0,142,0,0,353,7,0,3,1,1,0,205,2,0,9,1,1,4
"2",11,233,2,4,0,143,3,1,1,4,0,0,0,0,1,1,0,342,1,3,1,1,0,0,0,0,0,0,0,0,0,4
"3",3,270,2,2,725,146,6,0,1,2,3,3,2,1,2,1,3,0,1,8,1,0,0,1,1,0,0,0,0,1,0,3
"4",0,0,1,741,0,1,3,0,1,0,1,0,0,0,1,1,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,7
"5",3,2,1,4,1,773,0,2,1,3,2,1,0,0,2,1,0,1,1,8,1,0,2,0,0,0,0,349,2,1,0,0
"6",2,76,429,0,2,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"7",2,2,9,2,5,0,327,2,0,4,7,5,2,451,0,0,1,0,0,1,171,0,0,5,0,5,0,0,9,0,12,1
"8",2,123,1,0,2,0,0,0,0,0,0,0,2,2,8,1,1,0,0,0,2,0,427,0,220,2,0,0,0,0,0,5
"9",2,1,1,1,1,1,5,1,1,276,0,6,0,1,0,2,0,0,2,13,0,1,0,0,0,0,0,0,0,0,139,9
"10",739,0,2,1,2,2,3,0,1,0,2,2,2,66,1,1,0,2,1,0,1,1,1,223,0,0,1,1,1,0,0,8
"11",1,2,3,1,1,0,1,2,1,0,0,12,2,1,556,2,1,1,0,0,0,1,1,1,292,0,0,0,0,0,1,2
"12",0,2,0,0,0,0,0,1,1,0,0,3,0,0,2,0,285,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"13",2,2,13,0,1,2,1,2,1,1,2,4,0,0,0,0,0,0,0,2,0,503,1,0,2,1,0,1,258,0,0,1
"14",3,3,0,2,2,0,1,1,367,2,0,4,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,3
"15",1,1,2,4,0,2,684,2,2,2,0,292,0,1,0,0,0,0,1,3,0,0,0,0,1,0,1,0,0,1,0,1
"16",2,165,2,8,218,2,0,0,0,0,0,5,1,5,0,0,2,0,0,3,1,0,1,0,0,0,1,0,1,139,0,0
"17",4,114,1,1,1,0,4,407,1,3,0,1,0,2,0,1,2,1,1,3,1,0,0,0,0,0,0,0,0,1,4,9
"18",4,1,357,0,0,6,2,2,1,722,2,0,1,5,0,0,0,0,0,1,4,1,3,1,1,0,0,1,0,0,0,0
"19",1,1,2,2,0,0,1,1,0,1,1067,3,0,1,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,1,15,4
"20",1,1,0,0,0,0,0,1,0,0,1,5,0,62,1,0,1,1,0,0,194,0,0,0,0,0,0,0,0,0,0,1
"21",298,1,1,1,1,0,1,2,0,15,0,0,0,0,0,0,1,1,2,0,2,0,1,121,1,0,1,0,1,0,0,3
"22",0,1,0,10,1,0,0,1,0,3,1,3,0,0,2,467,2,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0
"23",0,1,0,0,5,2,0,0,0,2,0,5,2,2,0,1,0,0,0,765,1,0,0,0,0,1,0,0,0,0,0,1
"24",1,0,0,0,0,0,0,257,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
"25",0,1,0,0,2,0,1,2,0,1,0,0,633,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"26",341,1,0,0,0,0,0,0,0,2,0,5,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,2,0,0,0
"27",0,2,0,1,0,0,1,0,3,0,1,0,1,0,2,9,0,0,1,0,0,0,1,1,0,0,170,0,0,0,0,0
"28",250,1,0,0,0,0,0,0,0,2,0,6,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0
"29",1,3,1,0,3,1,280,1,0,0,0,360,0,0,0,1,0,0,2,3,0,0,1,0,0,0,0,1,1,0,0,3
"X",5,2,5,1,3,5,7,2,0,4,0,3,0,6,0,2,3,1,0,0,0,4,0,0,0,0,1,1,0,1,0,783
