"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",17,530,185,13,3,5,6,8,5,3,3,5,5,4,4,3,4,0,6,1,10
"2",225,6,4,6,3,6,17,3,5,5,5,432,78,3,2,2,1,1,22,3,12
"3",963,5,3,11,5,8,6,9,4,0,5,75,3,9,7,3,5,0,6,2,12
"4",5,5,521,8,3,5,3,4,4,2,1,1,3,4,5,1,2,1,2,1,9
"5",5,11,4,12,5,10,9,4,5,244,762,9,6,4,3,7,3,4,1,3,13
"6",48,1,0,0,466,2,1,3,3,2,5,0,1,1,2,2,0,2,4,3,3
"7",57,4,3,6,8,423,14,5,2,7,3,2,6,12,1,8,5,3,508,5,7
"8",6,2,2,3,26,6,6,106,3,2,2,2,9,2,564,0,1,2,4,2,6
"9",4,4,0,420,2,3,4,2,5,3,3,3,1,7,2,1,2,2,3,1,5
"10",7,3,4,7,5,70,677,4,3,5,3,3,4,6,1,5,3,4,9,2,14
"11",7,6,4,11,12,6,31,4,5,4,1,1,551,15,249,1,0,4,5,2,10
"12",1,1,0,2,2,7,3,2,2,1,0,1,3,2,0,1,285,0,0,0,5
"13",6,4,1,1,16,9,6,5,197,488,6,8,9,4,12,1,6,5,0,12,4
"14",4,3,2,4,3,1,1,365,2,2,6,1,1,6,1,1,2,0,5,0,5
"15",9,0,4,4,4,5,6,5,3,0,2,0,2,664,0,1,1,1,4,0,11
"16",641,2,2,4,3,7,0,1,3,3,5,1,0,2,2,3,2,0,3,3,0
"17",4,4,2,9,116,4,3,3,2,194,199,1,5,4,0,1,3,0,2,0,7
"18",15,4,7,6,2,4,6,5,1,12,9,1,2,9,5,5,5,3,700,350,4
"19",12,4,1,22,4,8,3,3,1,2,2,4,6,4,3,1017,3,5,3,2,9
"20",3,1,1,1,0,257,2,2,4,1,1,1,2,5,1,2,0,2,0,1,0
"21",1,3,2,4,1,6,410,2,5,3,4,0,19,5,6,1,5,4,14,2,5
"22",3,407,8,3,3,6,2,2,3,6,44,1,4,5,2,1,2,2,4,2,4
"23",8,4,1,602,1,3,1,3,5,1,7,1,1,0,0,3,0,4,2,1,4
"24",1,4,2,2,2,3,3,1,0,0,1,0,1,3,2,1,1,245,0,0,3
"25",7,7,200,1,2,0,0,5,3,8,4,4,5,3,6,1,1,1,2,390,5
"26",3,0,1,2,0,1,2,1,323,4,1,2,3,0,3,0,1,4,2,2,5
"27",2,10,0,2,47,0,2,114,0,0,1,0,2,1,2,1,1,0,0,1,1
"28",70,2,2,1,1,1,0,0,209,2,0,0,1,1,1,0,1,0,13,0,1
"29",32,2,1,0,4,1,2,4,2,3,4,0,2,553,2,3,2,2,0,0,9
"X",11,8,2,5,11,24,8,4,3,12,11,0,5,6,1,2,4,2,16,4,729
