"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",2,458,146,4,0,1,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0
"2",197,0,0,2,2,0,6,0,0,0,1,379,60,1,0,0,0,0,0,0,0
"3",819,0,0,0,0,2,0,1,0,0,1,66,0,0,1,1,0,0,1,0,0
"4",0,0,457,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
"5",0,0,1,0,0,1,0,0,0,195,650,1,2,0,0,1,0,0,0,0,0
"6",40,0,0,0,388,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",35,1,0,0,0,380,2,0,0,1,0,0,0,0,0,2,0,0,408,1,0
"8",0,0,0,0,17,0,0,82,0,0,0,0,7,0,367,0,0,0,0,0,0
"9",1,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"10",0,0,0,2,0,55,598,0,0,0,1,0,0,0,0,0,1,0,1,1,1
"11",1,0,0,1,0,0,0,0,1,0,0,0,474,9,227,0,0,0,1,0,0
"12",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,247,0,0,0,1
"13",0,0,0,0,0,0,0,1,124,423,1,0,0,0,0,0,0,0,0,1,0
"14",0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",4,0,0,0,0,0,1,0,0,0,0,0,0,530,0,0,0,0,1,0,0
"16",477,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"17",0,0,0,0,105,1,0,1,1,128,175,0,3,0,0,0,1,0,2,0,0
"18",1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,471,296,0
"19",1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,877,0,1,0,0,1
"20",0,0,0,1,0,233,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"21",0,0,0,0,0,0,352,1,0,0,0,0,2,2,1,0,0,0,0,1,0
"22",0,369,8,0,0,1,0,0,0,0,37,0,1,0,0,0,0,0,1,0,0
"23",2,1,0,443,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"24",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,207,0,0,0
"25",0,0,173,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,347,0
"26",0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,9,0,0,41,0,1,103,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",48,0,1,0,0,1,0,0,174,0,0,0,0,1,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,1,0,0,0,0,0,0,406,0,0,0,0,0,0,0
"X",1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,515
