"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",3,11,143,38,33,1,3,3,99,97,1,6,13,11,1,443,38,2,3,0,4
"2",327,186,3,234,2,5,8,4,9,4,1,3,7,1,2,1,4,17,2,0,3
"3",307,14,522,364,38,8,3,5,4,3,2,3,11,9,0,1,1,0,4,0,5
"4",1,5,3,2,118,368,2,0,13,1,40,60,28,1,1,0,2,0,3,0,4
"5",2,3,1,0,2,340,3,8,3,382,1,1,9,3,498,6,6,1,2,72,11
"6",0,14,104,2,408,23,2,6,0,2,1,0,2,1,0,0,1,1,1,2,1
"7",10,18,5,2,3,4,15,215,130,393,230,11,99,4,0,49,153,177,2,0,3
"8",0,11,2,494,1,3,1,56,0,1,0,8,86,97,0,0,0,2,75,1,4
"9",14,18,4,44,2,1,9,0,49,263,1,0,4,1,2,1,75,0,1,0,6
"10",2,230,6,0,2,2,3,4,153,3,4,222,43,272,1,0,0,26,3,0,12
"11",62,340,1,2,54,142,26,5,2,9,63,79,4,2,1,2,107,3,1,0,3
"12",8,3,22,1,43,1,0,55,1,0,0,0,4,171,2,0,0,0,2,0,1
"13",13,591,30,3,3,2,3,5,0,0,1,0,118,0,2,3,1,22,3,1,1
"14",53,10,46,62,3,0,2,1,2,4,1,0,3,1,219,6,1,1,0,0,1
"15",1,411,1,3,2,2,466,2,196,4,0,0,2,1,1,0,0,0,115,10,1
"16",359,44,0,580,338,0,0,2,0,1,1,38,4,0,0,1,0,1,0,0,0
"17",3,1,79,1,247,2,1,34,3,34,54,0,1,3,0,63,3,3,0,0,2
"18",7,11,1,3,4,4,1346,366,2,3,5,1,52,1,1,0,43,1,2,0,0
"19",5,3,17,0,1,3,1,2,2,16,1248,2,3,2,1,0,2,1,2,1,1
"20",1,22,0,1,2,0,1,0,0,0,25,1,148,0,83,0,9,0,1,0,0
"21",2,23,1,0,1,2,144,1,80,0,0,268,2,13,2,1,1,3,2,0,2
"22",3,4,2,0,1,183,1,1,250,0,7,1,0,70,4,0,0,3,0,0,1
"23",23,5,3,0,0,2,7,2,31,0,2,0,586,4,0,2,452,0,0,0,3
"24",35,6,1,0,2,0,0,0,1,0,1,0,2,0,0,0,27,184,0,0,3
"25",1,1,2,2,248,1,172,2,1,8,16,2,1,0,0,88,134,2,0,0,0
"26",1,7,0,1,0,0,95,0,0,5,0,0,1,0,0,0,0,0,252,0,0
"27",0,0,0,3,1,0,1,170,1,1,1,0,1,11,1,2,0,0,0,0,4
"28",3,14,0,35,29,21,0,38,0,85,0,4,16,96,0,1,1,0,0,0,0
"29",1,7,1,105,87,0,158,1,332,0,0,10,2,0,2,2,0,0,298,0,2
"X",16,25,4,1,12,8,8,5,6,8,5,32,10,2,4,3,4,6,5,238,822
