"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",0,1,0,1,0,0,0,0,0,0,0,3,0,527,0,0,0,0,0,0,0,0
"2",1,1,0,1,0,0,435,0,0,0,0,1,142,0,0,1,8,0,0,0,0,1
"3",1,0,1,0,1,0,0,0,0,0,0,0,776,0,0,1,1,1,0,0,0,0
"4",1,1,0,0,0,0,180,0,0,197,0,0,43,2,0,0,0,0,0,0,0,1
"5",0,0,1,393,0,0,0,256,0,1,2,1,0,0,1,0,0,0,0,0,0,0
"6",0,112,0,0,0,0,0,0,1,0,0,0,1,0,239,1,2,0,0,0,0,0
"7",2,0,299,4,0,0,1,0,2,0,61,0,3,1,0,0,2,1,0,0,0,2
"8",336,72,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,2,0,0,1
"9",0,0,0,0,0,0,1,0,1,0,0,326,0,0,0,0,0,0,0,0,0,0
"10",0,3,15,0,0,0,2,0,0,0,9,0,0,0,0,1,446,0,0,145,0,0
"11",1,467,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2
"12",2,0,0,0,0,0,1,140,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"13",2,2,0,237,0,0,1,1,0,0,0,2,0,0,0,95,1,0,0,0,0,0
"14",0,1,259,0,0,0,2,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0
"15",546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"16",3,0,0,0,0,0,0,0,0,0,0,1,108,0,0,229,0,0,0,0,0,0
"17",0,2,0,1,0,0,0,2,0,0,0,0,1,1,93,2,0,0,0,0,132,0
"18",2,1,0,0,274,0,3,0,0,1,0,1,0,0,3,0,0,0,0,0,0,2
"19",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,710,0,0,1
"20",0,0,29,0,0,1,0,0,1,0,153,0,0,0,0,0,0,0,0,0,0,0
"21",2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,95,0,0,21,0,2
"22",0,0,0,0,0,0,0,0,322,9,0,0,0,33,0,0,0,0,0,0,0,0
"23",2,0,0,0,0,0,1,0,0,0,1,403,0,0,0,0,0,0,0,0,0,1
"24",1,0,1,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",2,1,3,1,0,198,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1
"26",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,245,0,0,0,0
"27",0,74,0,0,0,0,0,0,0,0,0,1,0,8,5,0,0,0,0,0,0,0
"28",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,130,0,0,0,0
"29",185,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0
"X",1,1,1,1,0,0,0,2,0,0,0,1,1,4,0,0,0,1,0,0,1,411
