"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",2,464,150,3,0,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,0
"2",209,0,1,2,1,0,6,0,1,0,0,383,63,0,0,1,1,0,0,0,0
"3",835,0,2,1,0,0,0,1,0,0,0,70,1,0,0,0,0,0,0,0,2
"4",0,0,502,1,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"5",1,1,0,1,0,2,0,0,0,196,664,0,0,0,0,0,0,0,0,0,0
"6",41,0,0,0,390,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"7",33,0,0,0,1,388,1,0,0,1,0,0,0,0,0,2,0,0,432,0,2
"8",0,0,0,0,17,0,0,86,0,0,0,0,7,0,378,1,0,0,0,0,1
"9",0,0,2,348,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"10",0,0,0,0,0,57,622,0,0,0,1,0,0,1,0,0,0,0,0,1,1
"11",0,0,1,0,1,0,1,0,0,0,0,0,490,9,225,0,0,1,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,1
"13",0,0,0,0,0,0,0,0,126,452,1,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,1,0,0,0,323,0,0,0,0,1,0,0,0,0,0,0,0,1
"15",0,0,0,1,1,0,0,0,0,0,1,1,0,520,1,0,0,0,0,0,0
"16",470,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"17",0,1,0,0,105,1,0,0,0,133,190,0,3,0,0,0,0,0,2,0,0
"18",2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,507,309,1
"19",1,1,0,0,0,0,0,2,0,2,0,0,0,0,1,936,0,0,0,0,0
"20",1,0,0,0,0,232,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"21",0,0,1,0,0,0,345,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"22",0,381,10,1,0,0,0,0,0,0,40,0,1,2,0,0,0,0,0,0,0
"23",0,0,0,457,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"24",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,216,1,0,0
"25",0,0,187,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,339,1
"26",0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,8,0,0,42,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",46,0,0,0,0,0,0,0,164,0,0,0,0,1,0,0,0,0,0,0,0
"29",0,0,0,1,0,1,0,0,1,0,0,0,0,419,1,0,0,0,0,0,0
"X",1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,497
