"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",18,152,13,15,21,5,7,99,13,4,450,2,5,19,3,17,14,1,0,104,7
"2",17,7,187,9,244,9,0,13,283,6,1,1,46,1,0,4,7,23,0,4,4
"3",13,529,21,13,349,4,5,5,181,6,5,4,155,38,9,1,6,3,5,1,18
"4",4,3,8,510,4,67,1,13,3,3,1,1,3,40,1,0,29,1,1,0,6
"5",16,13,5,371,3,10,787,6,17,7,4,2,13,2,5,6,4,2,7,4,53
"6",3,141,22,23,4,1,1,2,7,0,1,1,1,442,4,6,1,3,0,1,3
"7",29,57,22,7,3,95,440,169,79,261,25,40,1,4,8,124,53,197,59,2,10
"8",78,6,12,5,381,11,1,0,3,1,3,3,1,2,95,39,96,3,0,2,5
"9",245,6,19,2,45,3,5,48,18,3,1,0,0,3,1,0,2,0,1,92,7
"10",15,40,280,7,3,223,7,155,4,5,1,1,0,2,581,3,11,30,4,3,14
"11",30,12,368,159,7,238,4,4,76,7,2,5,4,67,6,2,6,6,9,9,6
"12",8,29,12,6,2,2,3,1,12,3,1,43,1,5,167,57,3,1,3,1,5
"13",9,27,523,3,8,2,1,3,1,1,3,0,4,6,2,0,245,0,4,2,2
"14",8,50,13,1,116,4,229,3,2,1,6,1,1,2,2,0,1,1,1,6,4
"15",565,9,360,5,5,5,2,194,2,1,4,1,2,2,3,1,2,1,2,1,1
"16",0,6,51,2,340,4,1,1,0,3,0,0,365,122,14,2,5,2,1,2,14
"17",7,84,6,8,2,5,3,3,4,6,67,243,2,54,7,6,5,3,31,43,4
"18",815,21,12,2,4,6,16,14,12,9,2,1,4,9,5,12,11,2,349,1,6
"19",11,22,10,7,6,7,3,5,3,1267,1,1,1,2,4,8,3,5,0,1,5
"20",37,198,23,0,2,5,1,0,3,33,0,2,0,1,1,1,3,0,0,2,1
"21",151,5,25,1,4,325,0,75,2,4,1,1,3,1,24,16,2,3,1,2,9
"22",8,9,9,186,3,3,1,255,4,4,2,3,5,12,32,50,4,5,5,2,8
"23",10,4,2,17,1,2,0,23,144,3,2,0,4,0,5,1,559,0,0,438,1
"24",1,2,4,0,1,1,0,1,30,3,2,0,27,1,1,0,0,186,0,1,4
"25",184,7,7,1,2,2,9,8,3,312,0,286,2,1,0,4,1,1,1,1,4
"26",376,0,7,0,2,1,1,1,0,2,0,0,0,1,0,2,1,0,0,6,1
"27",1,0,0,1,4,1,0,1,0,1,1,2,0,0,9,171,0,0,0,1,2
"28",5,1,17,27,16,3,1,1,0,0,1,1,2,10,33,64,19,1,33,87,2
"29",530,53,46,107,46,3,3,305,2,1,0,1,3,34,30,2,2,0,0,1,5
"X",121,54,38,21,8,6,18,13,22,7,3,18,8,42,32,13,8,16,6,9,612
