"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",319,3,0,38,0,0,0,89,4,2,1,2,2,1,1,0,0,0,1,0,43,1
"2",0,4,331,3,0,36,2,0,0,0,220,0,1,1,0,0,0,0,0,0,1,1
"3",1,171,1,2,0,0,0,1,2,0,0,0,2,0,325,1,3,0,0,1,0,0
"4",1,1,0,0,0,0,1,0,1,0,0,673,1,0,0,0,0,0,0,0,0,0
"5",1,1,0,235,1,0,1,60,1,0,0,0,0,1,1,1,0,1,633,0,0,0
"6",1,1,2,0,0,0,412,0,2,0,1,2,1,0,1,1,29,0,0,0,0,0
"7",1,3,1,1,0,0,1,0,0,0,0,0,601,0,0,92,0,1,1,0,1,2
"8",0,1,1,0,0,0,180,0,0,204,0,1,40,1,0,0,0,0,0,0,0,3
"9",0,0,0,319,0,1,0,200,0,1,1,1,0,1,1,1,1,0,1,0,83,0
"10",1,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,458,0,0,159,0,2
"11",672,2,1,0,1,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0
"12",2,1,1,0,0,139,1,1,0,0,0,2,0,0,1,1,1,366,2,0,0,1
"13",0,89,1,0,0,0,0,0,200,0,0,0,0,0,7,0,0,0,1,0,0,0
"14",0,448,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"15",1,0,1,0,0,0,0,0,293,0,0,0,0,232,1,0,0,0,0,0,1,0
"16",2,0,262,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,1,0,24,0,0,0,0,238,0,0,0,0,0,0,0,1
"18",1,0,1,0,0,0,0,0,0,0,0,0,374,0,0,22,1,1,0,0,0,0
"19",0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,253,0,0,0,0,0,0
"20",0,0,0,0,197,0,1,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0
"21",0,0,0,1,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0
"22",2,1,0,3,66,0,0,0,1,0,0,1,3,1,0,0,1,1,0,0,0,3
"Y",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"X",1,1,0,0,2,0,2,1,1,0,0,0,3,3,0,0,0,1,4,1,1,397
