"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",22,0,0,4,1,0,500,0,0,143,0,1,67,0,1,0,55,65,65,0,0
"2",0,81,0,256,0,0,0,80,0,0,0,0,91,0,0,0,0,89,0,0,0
"3",9,0,0,0,152,0,129,0,15,3,0,1,72,1,0,0,10,10,0,0,0
"4",1,0,0,0,0,1,0,35,0,78,84,0,76,69,66,0,7,30,2,0,0
"5",0,0,1,176,1,3,1,227,252,0,201,0,1,0,0,0,0,0,0,0,1
"6",0,1,159,1,225,2,160,0,0,0,7,0,2,0,0,82,110,0,1,0,0
"7",277,0,103,1,2,0,0,0,0,0,0,0,0,0,1,0,27,110,0,0,0
"8",0,1,0,0,0,0,1,0,0,0,3,374,0,99,1,0,0,0,0,0,1
"9",1,223,1,1,0,0,0,1,0,0,725,0,0,0,0,0,0,0,0,0,0
"10",52,0,0,0,0,28,0,8,0,173,55,0,1,0,178,0,40,0,0,0,0
"11",0,11,0,238,0,1,0,0,0,0,75,0,21,0,0,0,1,68,6,0,0
"12",33,0,1,44,0,0,0,0,54,63,0,0,1,2,0,0,273,0,0,0,0
"13",0,0,0,0,113,0,0,0,5,0,1,0,1,0,183,0,0,0,0,0,0
"14",1,0,0,0,37,172,3,0,13,0,19,32,3,2,0,3,0,0,0,0,0
"15",0,0,42,193,2,0,0,36,0,91,0,0,0,39,0,0,0,0,0,0,0
"16",0,0,0,0,40,110,0,150,0,0,13,5,0,1,0,0,0,0,0,0,0
"17",2,41,161,0,47,90,1,0,0,2,0,85,1,0,0,0,59,0,0,0,1
"18",0,167,0,0,34,3,76,0,0,0,15,18,16,0,0,0,0,0,249,0,0
"19",49,26,39,0,0,3,0,12,0,0,0,0,0,0,0,0,1,13,0,0,0
"20",0,1,1,0,0,138,0,179,206,111,0,0,0,63,0,0,81,0,0,0,0
"21",0,12,1,0,0,0,306,0,32,0,0,0,1,0,0,0,0,0,10,0,0
"22",7,0,0,1,0,0,0,44,0,0,0,0,0,121,0,0,0,0,0,0,0
"23",0,12,51,0,0,0,0,0,158,0,0,0,0,19,0,1,11,0,0,0,0
"24",0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",116,1,22,0,39,0,0,31,0,0,0,0,0,115,0,0,0,0,0,0,0
"26",0,0,0,0,211,1,0,0,1,26,47,0,0,0,0,54,0,0,21,0,1
"27",0,0,0,0,0,233,0,0,1,7,0,0,0,0,171,4,2,0,0,0,0
"28",0,0,0,0,0,18,81,0,0,1,0,0,0,15,0,0,0,0,206,0,0
"29",52,0,34,54,0,0,0,0,1,0,0,1,2,0,4,4,0,0,0,0,0
"30",0,149,0,0,0,0,0,1,182,0,0,0,0,5,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,111,19,1,0,0,0
"32",0,0,80,0,63,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0
"34",0,0,72,0,0,0,0,0,0,0,0,0,35,0,14,61,0,0,1,0,0
"35",0,0,2,0,0,1,0,0,1,0,0,0,132,0,0,1,11,0,0,0,0
"36",3,131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"37",177,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",177,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"X",1,1,1,1,3,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,509
