"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",4,6,14,214,6,4,6,3,1,0,8,6,3,4,137,4,3,90,639,3,5
"2",280,3,4,4,1,147,2,1,142,12,4,2,9,2,11,4,1,1,1,92,3
"3",52,5,4,5,111,109,134,1,1,0,8,3,1,1,2,2,2,0,0,0,2
"4",55,6,2,3,2,261,4,4,154,5,2,0,5,4,2,5,0,1,1,4,0
"5",188,6,3,2,3,6,2,0,0,2,2,2,3,241,4,204,2,0,2,231,3
"6",186,0,211,3,3,2,1,3,2,5,4,1,2,4,3,8,0,0,2,346,1
"7",396,3,2,2,2,4,1,1,1,0,1,4,3,2,2,6,0,142,2,1,6
"8",6,4,4,4,6,1,493,3,3,0,3,0,0,4,5,6,3,2,0,0,8
"9",3,3,4,4,5,3,13,3,5,3,3,0,0,5,237,758,2,0,2,1,3
"10",5,6,5,4,5,2,5,0,2,201,170,2,193,3,5,4,1,0,3,4,2
"11",6,0,3,6,2,166,4,2,0,2,1,2,3,6,261,4,0,1,1,1,3
"12",6,5,3,508,6,4,4,1,1,6,3,3,1,4,5,4,1,2,2,3,4
"13",5,1,3,1,121,4,6,182,1,8,2,1,1,1,2,7,1,1,1,2,1
"14",41,3,262,5,5,1,3,3,2,3,6,3,1,5,5,2,0,0,1,0,2
"15",204,2,3,5,78,3,44,3,0,0,96,1,1,0,2,3,1,0,0,8,5
"16",9,1,182,3,43,3,0,115,2,0,4,1,1,2,1,0,1,0,1,2,4
"17",175,3,3,5,4,4,3,5,1,1,5,2,358,1,2,1,2,1,0,2,3
"18",1,2,100,7,2,3,2,1,2,1,1,1,2,466,1,1,0,1,2,0,3
"19",3,2,4,2,58,2,1,2,2,1,2,28,65,0,3,3,1,0,1,0,2
"20",2,306,3,6,3,4,3,1,0,3,45,3,2,5,1,0,1,1,457,3,6
"21",1,2,0,4,3,4,1,0,0,1,2,4,0,326,1,5,0,1,0,0,3
"22",0,1,1,1,2,0,2,2,0,2,1,1,0,0,5,8,172,0,1,1,3
"23",3,261,3,6,2,2,2,1,2,16,2,1,1,1,2,4,1,0,1,0,1
"24",1,0,0,3,0,0,3,1,1,461,1,0,0,1,1,1,0,0,1,0,1
"25",5,1,1,3,19,2,4,95,3,1,2,125,5,1,2,4,97,0,0,1,3
"26",1,4,1,0,4,2,3,1,25,254,199,3,4,0,3,3,1,0,0,0,2
"27",3,6,1,5,3,1,3,2,0,15,429,3,1,3,4,4,3,0,0,5,7
"28",3,2,5,1,2,0,0,1,316,0,1,2,1,2,1,0,1,1,0,0,3
"29",2,0,2,1,4,1,2,151,0,0,3,1,1,0,0,0,0,0,1,1,2
"30",5,0,0,0,5,1,338,5,1,1,0,3,1,1,1,5,0,0,2,0,0
"31",2,10,180,0,2,1,0,0,2,0,3,3,1,0,0,0,1,1,0,1,1
"32",2,1,2,1,168,7,1,1,3,1,2,1,0,3,1,3,1,2,1,1,1
"33",1,188,1,3,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,2
"34",3,136,4,2,2,52,3,2,2,3,4,0,0,2,0,0,0,0,0,1,2
"35",1,0,0,167,3,3,1,1,1,1,4,0,0,1,2,2,0,2,2,2,1
"36",1,0,2,1,1,0,0,0,1,0,0,135,0,1,2,1,1,0,0,0,0
"37",0,1,2,2,1,1,0,3,0,0,0,185,1,1,1,5,0,0,0,1,4
"38",191,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1
"X",14,9,3,5,12,7,6,11,5,9,14,3,7,4,9,5,2,1,6,1,640
