"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",0,1,2,187,0,0,1,0,0,0,0,0,0,0,127,0,0,85,513,0,2
"2",249,0,0,1,0,134,1,0,120,1,0,0,0,0,0,0,0,0,0,77,0
"3",46,2,0,0,105,99,126,0,1,0,2,2,1,0,0,0,1,0,0,0,0
"4",49,0,0,0,0,235,1,0,141,0,0,0,0,1,0,0,0,0,0,0,0
"5",176,1,0,0,0,0,0,0,0,0,1,0,0,232,0,196,0,0,0,220,0
"6",176,0,183,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,323,1
"7",364,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,136,1,0,1
"8",5,1,1,1,0,0,451,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"9",0,1,1,0,2,0,0,1,1,0,0,0,0,0,215,704,0,0,0,0,0
"10",0,1,0,0,1,1,0,0,1,179,158,0,178,0,1,2,0,0,1,1,0
"11",1,0,1,1,0,149,0,0,0,0,0,0,0,1,240,2,0,0,0,0,2
"12",0,0,0,457,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
"13",0,0,1,1,109,1,6,174,0,0,0,0,0,0,0,0,0,0,0,0,1
"14",20,0,246,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"15",182,0,1,0,73,0,39,0,0,0,90,0,0,0,0,0,0,0,0,6,1
"16",5,0,158,0,41,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",158,0,1,0,0,0,1,0,0,0,1,0,328,0,0,0,0,1,0,0,0
"18",0,0,88,1,0,1,0,0,0,0,0,0,1,432,0,0,0,0,0,0,0
"19",0,0,0,0,53,0,0,0,0,0,0,25,63,0,0,0,1,0,0,0,0
"20",0,297,0,0,0,1,0,0,0,1,42,1,2,1,0,0,0,0,416,0,0
"21",0,0,0,0,2,1,0,0,0,0,0,1,0,292,1,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,164,0,0,0,0
"23",0,245,1,0,0,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,441,1,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,16,0,0,90,0,0,0,111,3,0,0,0,95,0,0,0,0
"26",0,1,0,0,0,1,0,0,23,135,187,0,4,0,0,0,0,0,0,0,1
"27",0,1,0,1,0,0,0,0,0,12,389,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,294,0,1,0,0,0,0,0,1,0,0,0,0
"29",0,0,0,0,0,0,2,143,0,0,0,1,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"31",0,10,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"33",0,171,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"34",0,127,0,1,0,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,146,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
"36",0,0,0,1,0,0,0,0,1,0,0,129,0,0,0,0,0,0,0,0,0
"37",0,0,1,0,0,0,0,3,0,0,0,171,0,0,0,0,0,0,0,0,1
"38",178,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"X",1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,519
