"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","X"
"1",2,4,147,211,2,1,0,205,0,0,3,1,9,2,59,1,1,3,3,0,0,1,0,1,2,29,2,331,1,351,1,2,7,0,7,1,1,1,4
"2",2,277,1,3,146,2,0,2,2,0,1,1,5,1,291,0,2,1,59,1,0,1,1,0,113,0,0,2,1,0,1,51,2,1,3,1,1,0,11
"3",5,94,154,2,231,1,3,1,1,1,0,3,126,0,9,0,2,0,0,10,2,0,0,0,1,0,0,0,1,2,1,114,2,0,0,0,0,0,3
"4",4,0,1,0,5,0,0,0,4,1,2,0,1,263,0,227,0,131,1,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,6,2,1,0,1
"5",1,0,0,3,35,189,309,0,1,0,1,2,3,4,0,1,177,0,0,0,0,0,3,1,1,2,0,0,0,0,0,1,4,9,6,0,0,186,2
"6",2,3,18,4,2,2,1,5,0,137,0,2,4,10,3,3,0,1,0,1,2,1,1,0,153,2,458,1,9,2,2,0,4,1,3,0,87,0,6
"7",1,0,0,7,297,0,1,2,1,1,2,5,3,2,0,2,1,13,0,297,454,0,0,0,1,8,1,1,0,1,0,1,4,1,9,0,1,0,7
"8",95,0,1,1,2,2,150,1,0,2,1,2,3,1,0,1,1,0,0,1,1,0,0,0,1,485,0,1,0,1,3,2,1,1,3,0,0,0,6
"9",1,0,0,5,5,0,2,1,0,1,0,1,200,0,1,0,2,1,0,0,0,1,0,0,0,1,4,0,156,1,0,0,3,0,4,0,0,0,4
"10",696,2,3,2,2,0,1,0,2,2,2,156,2,0,2,0,4,1,0,3,0,0,1,0,0,2,1,0,0,1,1,3,2,3,3,2,0,0,3
"11",2,0,0,2,210,3,5,3,768,2,1,4,3,2,2,0,1,0,2,2,0,2,2,3,0,3,0,0,0,2,0,1,1,0,4,1,1,0,4
"12",1,2,0,2,4,4,1,1,2,0,0,0,3,1,0,3,0,554,0,1,15,1,0,1,3,0,0,0,0,1,1,2,1,0,0,1,1,1,2
"13",3,1,0,5,0,599,1,1,2,0,3,1,4,2,2,2,1,2,1,3,1,2,2,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,1
"14",3,99,114,168,3,0,3,5,1,1,166,0,1,21,1,1,2,0,2,1,0,0,0,0,2,0,0,0,0,1,0,3,0,1,0,0,0,0,3
"15",2,0,0,4,2,1,1,1,3,196,0,2,3,0,1,0,388,0,2,0,1,0,1,0,0,0,0,2,1,1,0,1,2,0,3,0,0,0,4
"16",1,0,2,8,3,0,0,0,1,0,0,2,7,1,0,1,2,5,0,341,1,0,240,0,0,0,1,0,0,0,1,0,7,0,4,0,0,0,2
"17",4,1,2,2,3,0,1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,179,0,0,96,0,0,1,0,0,1,1,2,1,3,1,0,0,2
"18",1,1,1,5,3,1,1,1,1,0,1,0,5,2,1,1,0,1,95,0,2,0,0,0,6,2,1,1,0,1,0,0,5,0,4,137,99,0,2
"19",1,1,1,4,0,1,2,0,0,1,0,1,4,2,0,1,0,0,1,0,1,1,10,1,0,0,1,0,1,0,0,1,201,133,2,0,0,0,1
"20",1,1,0,3,0,0,1,0,1,0,2,406,2,0,0,1,12,2,1,0,1,1,1,0,0,0,2,0,0,0,0,0,4,0,198,1,1,0,0
"21",0,53,0,98,2,1,0,0,0,2,0,1,3,5,0,5,0,1,1,121,1,0,0,0,1,1,0,0,1,0,1,1,3,47,2,0,0,0,0
"22",0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,12,466,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0
"23",143,0,0,3,2,1,0,2,1,0,87,0,4,3,0,0,1,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,3,0,1,0,0,0,3
"24",2,0,2,2,3,0,0,336,0,0,2,1,2,6,0,1,1,0,0,0,0,0,0,1,1,2,0,0,1,0,0,1,2,1,2,0,0,0,0
"25",2,4,1,4,2,0,1,1,248,0,204,1,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"26",0,0,0,2,1,1,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,1,4,0,0,0,1,0,0
"27",1,0,0,1,1,0,0,0,0,0,3,0,1,0,0,173,1,0,1,0,3,1,0,0,3,0,0,0,0,1,0,0,1,0,2,0,3,0,0
"28",0,1,0,3,0,1,0,0,1,225,0,1,3,1,96,0,0,0,0,1,0,0,2,0,0,0,2,1,1,0,0,1,2,0,0,0,0,0,3
"29",0,145,0,0,3,0,0,1,1,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"30",1,0,0,4,0,0,108,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,39,0
"31",110,0,0,1,0,0,0,2,0,0,0,8,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"X",6,1,0,9,9,0,4,4,2,1,1,1,11,1,2,2,2,0,4,1,5,0,0,0,0,4,8,2,0,0,0,2,10,2,3,0,0,0,692
