"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",68,2,1,1,2,1,4,2,2,525,5,3,0,248,513,1,0,2,2,0,0,2,0,3
"2",678,2,0,207,0,0,1,95,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,2
"3",7,1,0,427,1,1,0,0,1,0,3,1,0,0,0,377,1,0,8,0,0,0,0,0
"4",5,1,0,0,0,1,569,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"5",916,0,14,0,0,5,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0
"6",4,209,0,0,0,2,1,0,1,6,4,622,0,0,0,3,1,0,0,0,0,14,4,0
"7",44,3,1,0,0,1,0,0,0,0,709,1,1,1,0,1,1,0,656,0,0,6,0,1
"8",4,16,0,0,1,1,0,0,0,0,2,211,4,1,0,1,0,258,1,1,0,155,0,0
"9",0,1,0,0,0,1,0,371,0,0,3,2,1,0,1,0,1,0,0,0,0,0,0,0
"10",3,0,4,0,1,257,0,0,0,2,2,2,0,0,0,1,1,0,828,0,0,0,0,1
"11",3,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1115,2,0,1,0,0,2,2
"12",1,0,0,0,0,0,0,0,0,0,572,0,0,0,0,0,16,0,0,0,1,0,0,0
"13",1,2,2,0,0,0,272,2,4,0,3,2,0,0,0,411,2,0,1,0,0,0,0,1
"14",31,0,1,1,561,1,0,0,0,0,1,1,0,0,2,1,1,1,0,0,0,0,0,1
"15",1,584,0,0,0,0,0,1,2,1,2,1,0,1,0,1,2,1,0,0,0,0,0,0
"16",2,0,602,0,0,3,0,0,0,0,8,0,0,0,0,2,1,0,0,0,0,0,10,0
"17",4,1,1,0,0,0,0,0,0,1,2,1,285,0,0,0,0,0,27,0,1,0,0,2
"18",2,345,0,0,0,0,0,0,0,0,5,0,0,1,1,0,1,0,0,0,0,0,0,0
"19",0,0,372,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,1
"20",30,0,0,0,2,785,0,0,0,0,2,3,1,0,0,1,0,0,0,0,1,0,10,0
"21",5,0,0,0,204,0,0,0,1,0,2,1,0,0,0,0,0,0,153,0,0,1,0,0
"22",2,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,495,0,0,0,0
"23",2,3,0,0,0,0,0,0,329,4,3,2,0,1,0,1,0,0,1,0,0,0,0,0
"24",6,1,0,2,0,0,0,1,0,0,2,1,0,341,0,1,0,0,0,0,0,0,0,1
"25",2,0,0,0,0,1,0,0,466,0,1,0,0,0,25,0,1,1,2,2,0,0,0,0
"26",6,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,226,0,0,0
"27",0,0,0,66,0,0,0,132,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0
"28",1,0,1,0,0,0,0,0,0,1,2,138,0,0,0,0,0,0,0,0,0,217,0,0
"29",8,16,1,0,0,0,0,0,12,180,0,0,0,4,6,0,0,6,3,0,2,2,0,0
"30",143,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0,1,0,1
"31",8,0,0,0,0,135,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
"X",7,1,0,2,2,3,0,0,4,0,11,1,3,3,0,0,0,2,3,0,0,1,66,665
