"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",0,159,0,0,0,19,205,38,205,78,0,80,16,215,0,0,0,0,229,0,0
"2",1,0,132,611,0,3,0,66,0,0,1,0,0,89,0,0,0,0,0,0,0
"3",0,0,30,0,331,14,1,311,1,0,0,0,0,0,0,0,1,0,0,0,0
"4",0,2,0,0,108,295,0,1,12,0,44,53,19,0,1,0,0,0,0,0,0
"5",320,0,438,29,25,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"6",198,0,0,0,0,234,0,0,0,154,0,0,0,0,181,4,2,0,0,0,0
"7",0,26,0,0,0,1,315,69,354,59,0,0,0,0,0,0,60,0,0,0,0
"8",21,0,0,0,214,0,0,0,0,25,45,0,0,0,0,24,25,176,0,0,0
"9",51,0,38,60,0,0,1,0,0,0,0,0,3,0,192,5,0,0,0,0,0
"10",0,0,1,44,0,1,477,0,38,163,1,0,1,0,1,0,4,0,0,0,1
"11",0,0,0,0,1,0,0,1,0,0,970,0,0,0,0,0,0,0,0,0,0
"12",0,158,0,1,0,0,72,0,0,0,0,0,0,0,0,0,0,0,263,0,0
"13",0,1,0,0,206,0,164,0,0,0,7,0,1,0,0,80,114,0,0,0,0
"14",9,1,0,0,0,0,0,0,1,0,175,0,160,0,0,0,19,181,0,0,0
"15",59,44,0,0,44,123,1,0,0,8,58,88,0,1,0,0,96,0,0,0,0
"16",0,0,41,0,0,126,1,0,304,0,0,0,0,86,0,0,11,0,0,0,0
"17",7,0,21,0,41,0,0,48,0,0,0,0,0,155,0,0,1,0,0,0,0
"18",151,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0
"19",0,0,70,0,0,0,2,0,1,0,0,0,0,0,0,246,0,0,0,0,0
"20",32,0,1,1,0,1,0,0,15,0,0,0,149,4,0,0,293,0,0,0,0
"21",0,0,0,0,0,0,0,96,0,7,5,0,112,0,80,1,12,0,0,0,0
"22",0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,81,0,0,1,0,0,0,0,0,62,0,0,0,0,0,67,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,288,0,30,0,0,0,0,0,0,0
"25",0,244,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,114,19,0,0,0,0
"27",0,0,0,0,0,0,1,161,0,0,0,0,0,1,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,6,0,133,0,0,0,0,177,0,0,0,0,0,0
"29",0,86,0,0,0,0,0,4,0,0,1,0,18,0,0,0,0,21,0,0,0
"30",140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,1,0,0,52,1,0,0,0,0,0,57,0,0,0,0
"X",2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,513
