"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",61,3,7,1,4,1,787,5,512,2,3,4,2,2,3,1,3,3,0,1,4
"2",635,5,5,2,202,2,2,96,5,0,1,2,2,0,1,0,0,0,1,0,4
"3",50,2,1,2,365,8,2,1,0,0,1,2,1,1,6,0,0,0,5,348,0
"4",2,2,605,4,1,1,3,3,2,2,1,2,0,2,1,1,2,0,0,0,2
"5",844,13,3,2,1,1,1,2,1,1,1,2,2,0,0,0,0,0,0,0,2
"6",3,3,5,5,3,1,1,0,1,14,580,208,1,3,2,2,1,0,0,4,2
"7",28,1,1,3,2,17,1,1,0,6,1,5,2,612,2,1,1,0,485,1,18
"8",6,3,2,2,2,1,2,1,1,217,201,0,8,1,0,0,1,249,1,1,1
"9",0,2,1,3,0,1,1,340,0,0,3,0,1,0,0,1,1,1,0,0,2
"10",5,4,2,244,4,4,1,4,5,0,7,2,0,0,1,3,2,2,676,1,2
"11",5,2,0,3,2,0,0,3,1,2,2,0,0,3,3,1025,1,0,3,1,3
"12",4,1,1,0,1,3,1,0,2,0,0,0,1,496,0,6,0,0,0,0,1
"13",1,1,218,2,2,2,0,1,1,0,2,0,2,0,4,6,0,0,2,345,1
"14",30,3,2,7,2,528,2,1,2,2,3,0,2,1,1,3,0,1,0,1,1
"15",0,3,2,1,2,1,2,1,3,0,3,0,636,1,1,3,0,1,0,0,1
"16",1,532,1,8,1,1,2,0,2,0,42,1,0,3,1,0,3,0,0,2,1
"17",6,1,0,3,0,1,1,0,1,0,0,0,1,0,1,0,275,0,18,1,4
"18",1,1,2,2,0,0,2,0,0,1,1,259,72,0,1,1,1,0,0,1,1
"19",1,342,0,2,0,0,2,1,0,5,1,0,1,3,1,1,0,0,1,0,1
"20",16,0,0,697,1,2,0,0,1,1,5,2,1,1,1,0,1,2,0,0,2
"21",10,0,1,1,1,198,1,0,0,1,3,0,2,0,1,0,0,1,132,0,0
"22",3,1,0,1,0,0,2,1,2,481,1,0,0,0,0,0,0,0,1,1,1
"23",3,1,0,2,1,0,2,0,0,0,4,0,0,0,296,0,0,0,1,1,1
"24",5,0,0,1,2,0,321,2,2,0,2,0,1,1,1,0,0,0,0,1,4
"25",3,2,1,2,2,3,13,0,1,3,0,0,0,1,418,0,0,1,1,0,1
"26",4,13,174,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"27",2,0,0,0,44,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",4,2,1,2,1,2,2,0,1,198,130,0,1,1,1,0,0,0,1,2,0
"29",3,1,0,0,0,0,0,0,174,2,0,1,2,0,2,0,0,0,1,0,0
"30",140,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2
"31",1,0,1,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"X",6,3,0,3,7,4,4,1,4,4,3,2,3,3,5,0,1,3,1,0,608
