"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",50,0,1,0,0,1,674,0,459,0,0,1,1,0,0,0,1,0,0,0,0
"2",583,0,0,1,192,0,0,91,2,0,0,1,0,0,0,0,0,0,0,0,2
"3",43,1,0,1,327,1,1,0,0,0,0,0,0,0,0,0,0,0,0,304,0
"4",0,1,517,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"5",789,9,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
"6",2,0,0,2,0,0,0,0,0,11,528,192,0,0,0,1,0,0,0,1,0
"7",0,0,0,1,2,0,1,0,0,1,1,2,1,528,2,0,0,0,244,0,1
"8",0,1,0,0,0,0,0,0,0,111,191,0,3,0,0,0,0,223,1,0,0
"9",0,1,0,1,0,1,0,322,0,0,0,0,0,0,0,0,0,0,0,0,1
"10",1,0,0,228,1,0,0,1,1,0,1,0,0,0,0,1,0,0,491,0,1
"11",0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,937,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,1,0,0,0,0,432,0,1,0,0,0,0,0
"13",0,0,182,0,1,1,0,0,0,0,1,0,0,0,1,2,0,0,0,326,1
"14",20,0,0,2,0,499,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"15",0,0,0,0,1,0,1,0,0,0,0,0,517,0,1,0,0,0,0,0,0
"16",0,511,1,2,0,0,0,0,0,0,39,0,0,2,0,0,0,0,0,1,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,263,0,0,0,0
"18",1,0,1,0,0,0,0,0,0,0,0,250,66,0,0,0,1,0,0,0,0
"19",0,300,0,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,1
"20",2,0,0,482,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"21",7,0,0,0,0,182,0,0,0,0,1,0,0,0,0,0,0,0,104,0,0
"22",0,0,0,0,0,0,0,0,0,451,1,0,0,0,0,0,0,0,0,0,0
"23",1,0,0,0,0,0,0,0,0,0,1,0,0,0,202,0,0,0,0,0,1
"24",0,0,0,0,0,0,295,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"25",0,0,1,0,1,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,1
"26",0,12,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"27",1,0,0,0,42,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,1,0,0,0,2,0,0,0,177,124,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0
"30",135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"31",1,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X",0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,510
