"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",550,44,338,50,23,116,23,215,3,10,21,1,4,8,450,63,32,11,36,88,51
"2",15,176,16,11,683,10,3,3,9,11,7,3,4,15,99,43,6,3,34,0,21
"3",22,51,9,20,10,13,18,4,3,1,10,0,2,389,8,3,13,7,349,0,18
"4",24,47,8,515,20,80,20,14,5,8,22,2,2,46,11,3,42,12,2,0,50
"5",14,512,4,14,41,11,11,2,2,14,15,2,367,29,8,1,8,10,2,4,26
"6",10,7,5,370,7,7,386,2,266,3,9,1,10,0,2,3,6,3,2,2,58
"7",677,77,89,112,9,13,228,755,50,9,17,51,1,11,31,87,6,20,48,3,16
"8",19,34,3,13,12,16,16,0,29,8,83,222,31,53,10,1,8,196,1,30,35
"9",17,59,7,8,119,11,226,4,2,3,14,4,3,1,7,2,5,5,1,3,21
"10",999,25,10,12,51,10,22,48,8,7,8,1,3,9,8,5,9,5,11,102,22
"11",11,25,9,6,7,7,4,1,2,1187,3,1,1,2,2,8,4,5,0,1,7
"12",496,8,275,5,3,6,6,0,2,2,6,0,5,0,3,2,2,2,0,0,9
"13",186,1,13,1,4,3,3,2,7,284,2,281,2,1,1,1,4,0,1,1,4
"14",17,140,0,9,11,11,12,2,24,203,13,1,2,4,7,1,65,206,0,1,25
"15",18,12,190,252,7,247,7,0,75,5,9,2,1,65,3,0,20,7,6,10,12
"16",22,61,9,157,6,10,7,331,11,3,7,4,5,6,39,58,5,5,2,3,19
"17",19,44,6,11,5,12,18,1,9,5,8,43,3,4,162,60,6,8,1,0,25
"18",13,15,177,7,7,8,7,3,121,6,7,0,46,1,4,1,6,19,0,1,17
"19",23,107,6,15,8,17,20,2,0,3,375,0,0,2,9,1,8,8,0,1,33
"20",9,13,3,17,9,4,4,25,170,5,6,0,2,0,7,0,193,2,1,454,9
"21",42,172,2,2,3,5,65,0,2,6,7,1,0,1,2,106,2,2,0,1,8
"22",11,35,497,5,6,8,8,1,3,2,9,0,5,3,4,0,6,4,1,2,16
"23",85,9,13,2,130,5,6,1,0,1,6,3,0,0,2,2,104,2,1,0,9
"24",7,11,4,5,5,333,4,0,0,2,6,0,1,0,34,1,2,3,2,0,10
"25",6,5,359,2,239,6,2,0,5,2,2,1,0,0,3,1,2,4,1,0,6
"26",6,13,2,4,6,6,6,2,0,0,131,0,1,0,3,0,3,4,0,96,12
"27",9,18,1,7,5,9,8,0,0,2,9,1,1,1,5,177,5,5,0,0,21
"28",10,13,2,6,4,9,363,1,0,0,6,0,0,0,3,0,3,3,7,1,16
"29",1,0,2,0,1,0,6,0,0,10,3,0,0,0,0,1,220,0,4,0,1
"30",5,1,4,0,0,1,0,0,0,2,2,0,158,0,0,0,0,0,0,0,1
"31",125,4,2,1,2,2,8,0,0,11,3,0,0,0,1,0,1,1,0,0,5
"X",126,101,32,30,27,39,43,5,11,8,36,11,2,26,34,8,21,29,1,5,628
