"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",423,1,158,21,0,77,0,197,1,0,0,0,0,0,159,55,16,0,32,76,0
"2",0,131,0,3,580,0,0,0,1,1,0,0,0,0,86,34,0,0,24,0,0
"3",2,29,0,14,0,0,0,1,0,0,0,0,0,324,0,1,0,0,301,0,0
"4",0,0,2,397,0,52,0,11,0,0,0,0,0,41,0,1,21,0,0,0,0
"5",1,419,0,5,28,0,0,0,0,0,0,0,310,23,0,0,0,0,2,0,0
"6",0,0,0,222,0,0,274,0,195,0,5,0,1,0,0,0,0,0,0,0,41
"7",308,0,26,3,0,2,65,334,42,1,0,22,0,0,0,0,0,0,44,0,0
"8",0,0,0,1,0,0,0,0,25,0,26,199,21,47,0,0,0,169,0,23,0
"9",1,38,0,0,103,1,191,0,0,0,5,0,1,0,0,0,0,0,0,0,1
"10",527,2,0,1,42,0,1,36,0,2,0,0,0,0,0,0,1,0,0,87,0
"11",1,0,0,0,0,0,0,0,0,936,0,0,0,0,0,1,0,0,0,0,0
"12",332,0,148,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"13",161,0,1,0,0,0,0,1,0,196,0,196,0,1,0,0,1,0,0,0,0
"14",6,98,0,1,0,0,0,1,16,171,0,0,1,1,0,0,54,174,0,0,0
"15",1,0,45,121,0,221,0,0,61,0,0,1,0,58,0,0,0,0,0,8,0
"16",1,40,0,125,0,1,0,299,9,0,0,1,0,3,33,50,0,0,0,0,0
"17",0,21,0,0,0,1,0,0,7,0,0,39,0,0,148,45,0,0,0,0,0
"18",0,0,160,0,1,0,0,0,109,0,0,0,41,0,0,1,0,12,0,0,0
"19",3,70,1,0,0,0,2,0,0,0,228,0,0,0,1,0,0,0,0,0,0
"20",0,1,0,0,1,0,0,14,132,0,0,0,0,0,5,0,130,0,0,189,0
"21",33,150,0,0,0,0,18,0,1,5,1,0,0,0,0,93,0,0,0,1,0
"22",0,0,444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"23",66,1,0,0,78,0,0,1,0,0,0,0,0,0,0,0,60,0,0,0,0
"24",0,0,0,0,0,280,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
"25",0,0,238,0,161,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,1,0,55,0
"27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,162,0,0,0,0,0
"28",0,0,0,1,0,1,304,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"29",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,127,0,4,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,1
"31",108,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"X",54,1,12,0,0,1,2,3,2,1,0,4,0,0,0,0,1,5,0,2,414
