"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"F1",570.75,0.142857142857,0.5,0.5,1.5,0,0.833333333333,0,1.0,0,0,1.0,0.5,0,1.0,0,0.25,0,0,0,1.5,0,0,0
"F2",1.0,0,0.5,0,0,0.333333333333,0.166666666667,345.75,1.0,0,1.0,0,0.5,0,0,0,1.0,0,0,0,0,0,0,1.5
"D2",50.5,1.0,1.0,0,0.5,1.5,0.5,0,0.5,486.0,0,1.0,0,0,0,0.333333333333,0.5,0,0,0,0,0,0,1.5
"B4",2.83333333333,1.30769230769,0.5,0,0.25,0,0,0,0.564102564103,125.576923077,1.5,686.033333333,0.166666666667,0.576923076923,0.615384615385,0.833333333333,0.833333333333,0.115384615385,0.5,0,0.0384615384615,213.538461538,0,2.54761904762
"D3",0.5,1.66666666667,0.5,0.5,2.0,0.166666666667,0.666666666667,0,0,0,0.7,202.0,0.333333333333,0.5,0,0,0,238.5,0,0.533333333333,0,147.8,0,0.833333333333
"A1",43.5,4.07142857143,1.0,2.5,714.083333333,1.0,0,0,1.0,0.5,2.03333333333,1.2,271.5,0,1.0,0,1.66666666667,0.5,1.0,0.5,0.5,1.66666666667,0,2.33333333333
"A3",0.5,532.416666667,0.5,0.5,0.5,1.0,0.166666666667,1.5,0.25,0.5,1.33333333333,1.03333333333,1.16666666667,0,0,1.0,0,0,0.75,454.333333333,0,1.0,0,0.666666666667
"A2",1.10714285714,2.33333333333,352.0,0.166666666667,0.5,1.16666666667,537.333333333,0,0.666666666667,1.0,0,3.33333333333,0,0,0.333333333333,0.5,0,0.333333333333,451.334033613,0.833333333333,0,1.0,0,0
"B1",2.0,2.66666666667,1.0,613.0,1.25,1.0,1.5,198.583333333,0.5,1.0,1.0,1.2,0,1.0,0.333333333333,0.833333333333,1.5,0,0.75,0.666666666667,0,1.0,0,1.5
"B2",2.0,0.333333333333,0,0.833333333333,1.0,853.257575758,0.166666666667,1.5,0.5,0.5,0.866666666667,1.25,0.5,1.5,1.5,2.33333333333,0.5,0.5,1.0,1.0,0.5,0.166666666667,0.909090909091,0.5
"B3",3.33333333333,4.5,0.5,0.833333333333,0.5,0.125,0.666666666667,0.833333333333,0,0.5,1.5,1.83333333333,0,522.583333333,493.833333333,0,0.333333333333,0.458333333333,1.58333333333,0,0,0.333333333333,0.375,1.45833333333
"X",3.25,2.0,0.5,0.5,2.75,2.0,3.33333333333,0.5,2.83333333333,0,2.7,0.5,1.16666666667,1.16666666667,2.0,0.5,2.0,1.0,4.0,0,0,0.5,8.78141025641,570.004304029
"C2",2.0,0,583.090909091,1.5,0,1.0,1.33333333333,0,0.5,0,1.5,1.5,1.0,0.5,0,0,0.333333333333,0,0.558823529412,0,155.5,0,0.909090909091,0.5
"D4",0,0.533333333333,0,0,1.08333333333,0,1.0,0,631.838461538,0,0,1.33333333333,0,0,1.46153846154,0,0.5,0.5,0.5,0.5,0,0,0,1.25
"D1",0,2.0,0.5,0,0.333333333333,0.166666666667,1.16666666667,0.666666666667,0,0,1059.53333333,0.2,0,0,0,0.333333333333,1.5,0,1.0,0.5,0,0.666666666667,0,0.5
"E1",0.25,0,0,0,0,0,0.833333333333,0.25,0,0.5,0,0.666666666667,0,0.333333333333,0,0.333333333333,944.083333333,0.25,0,1.0,0,0,0.666666666667,1.16666666667
"C1",960.892857143,516.119047619,0,0,0.5,1.71428571429,0.833333333333,0,0.666666666667,1.83333333333,0.833333333333,2.64285714286,0.5,0.5,0,0.833333333333,1.33333333333,0.333333333333,1.0,0,0,0,0,0.75
"E3",0.5,1.0,0.666666666667,0,0,0,210.023809524,0.5,0.333333333333,0,0.25,1.0,0,0,0,369.25,0.142857142857,1.0,0.5,1.0,0,0,0,1.5
"E2",0.170454545455,0.333333333333,1.05,0.401515151515,1.0,0,0.75,0,0,0,0.0227272727273,1.5,0,0,0,314.708333333,0.5,0,544.313636364,0,0,0,0,0
