"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"F1",491,1,113,2,4,1,0,4,3,0,2,2,2,1,3,1,2,2,0,0,0
"F2",49,1,42,63,0,0,2,1,0,0,1,0,4,1,206,6,1,1,0,0,1
"D2",0,1,0,0,2,22,88,35,0,86,3,1,20,97,1,0,1,0,248,0,0
"B4",1,90,1,2,1,296,3,16,3,309,2,4,21,1,431,7,3,21,1,72,17
"D3",26,1,2,1,251,2,3,1,1,28,51,0,2,2,2,59,30,191,0,0,4
"A1",28,1,30,2,44,3,18,52,3,5,241,1,281,167,91,10,20,196,2,0,4
"A3",68,521,21,3,51,141,11,1,1,10,68,93,2,1,3,2,109,0,4,0,3
"A2",1,11,3,2,127,494,9,212,284,228,47,65,27,72,3,17,136,5,1,0,4
"B1",4,4,172,3,341,24,6,253,3,4,3,1,5,90,1,1,4,1,1,2,1
"B2",36,4,5,63,3,2,9,1,68,242,3,2,254,2,3,0,415,2,3,0,6
"B3",2,190,5,3,1,5,135,1,229,1,1,441,4,199,2,2,2,4,2,0,4
"X",6,3,3,9,10,44,7,3,4,8,7,21,5,1,3,1,2,5,4,8,632
"C2",3,2,125,1,4,4,4,1,177,56,2,1,2,24,2,442,31,1,1,2,1
"D4",1,273,1,352,5,4,3,1,1,1,4,0,78,0,0,0,0,1,72,0,3
"D1",3,324,1,0,3,3,508,5,386,3,3,0,0,2,0,5,1,0,359,0,1
"E1",2,2,17,1,1,3,2,1,0,16,1092,1,0,0,1,0,1,2,0,1,1
"C1",385,183,371,681,57,18,7,4,1,6,4,6,11,2,0,1,7,16,2,0,3
"E3",0,1,0,2,234,1,168,1,0,1,10,1,1,0,1,84,118,2,0,0,1
"E2",1,0,1,7,0,0,774,346,2,4,1,2,34,1,1,0,70,1,2,0,0
