"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"F1",2.14583333333,1.33333333333,1.5,0.0625,0.0833333333333,0,0.892857142857,0.25,0.541666666667,0.0625,0.729166666667,2.0,287.895833333,0.833333333333,0.25,230.333333333,1.0,1.5,0,0.166666666667,1.0,1.8125
"F2",1.83333333333,0,257.916666667,0.0833333333333,0,0,1.08333333333,0,1.33333333333,1.0,1.0,1.66666666667,1.0,2.0,0.666666666667,0,0.0833333333333,1.75,0.75,0,0,0.75
"D2",2.0,2.0,0.5,1.0,0.166666666667,0,1.5,1.5,0,0,0,3.0,0,0.166666666667,0,44.5,0,380.0,0.5,0,0,1.5
"B4",2.58125,2.28125,0.5,391.85,2.03125,0,2.5,255.08125,0.833333333333,0.716666666667,3.11458333333,1.53125,1.63125,1.33333333333,1.05,93.55,1.0,0.5,1.16666666667,0.5,0.03125,2.71428571429
"D3",0.666964285714,1.60267857143,2.25,1.41666666667,0.03125,0,0,0.03125,217.166666667,0.6,0.53125,1.2693452381,1.56696428571,2.36904761905,1.16666666667,2.5,0.5,1.0,0,0.5,137.28125,1.16666666667
"A1",5.04444444444,2.08333333333,343.5,3.69444444444,0,1.0,6.7380952381,150.7,1.33333333333,0.85,232.083333333,2.27777777778,2.58333333333,3.0,1.25,1.75,1.5,0.5,0.5,0.333333333333,0,1.66666666667
"A3",2.5,473.916666667,1.75,237.25,1.0,0.5,2.0,1.7,3.0,0.5,0.75,3.33333333333,0.916666666667,1.66666666667,0,0.5,0,0.5,0,0,0,2.33333333333
"A2",3.72916666667,2.25,2.91666666667,4.13392857143,0,1.0,192.0,1.0,293.875,205.538690476,0.133928571429,1.2380952381,47.5625,4.5,2.33333333333,0.5,3.75,0.666666666667,0.904761904762,0.333333333333,0.5,5.63392857143
"B1",3.25347222222,264.364583333,1.825,0.816666666667,0.947916666667,0,2.31111111111,0.28125,1.66666666667,0.55,0.642361111111,1.69791666667,3.65902777778,3.40277777778,340.383333333,1.75,4.28333333333,1.0,0.125,0.25,0.03125,2.45833333333
"B2",2.76666666667,1.0,2.0,1.5,0.5,0.333333333333,0.5,1.5,3.16666666667,0.35,0.75,738.833333333,0.75,0.666666666667,1.5,1.0,1.75,2.0,0.5,1.0,0,0.916666666667
"B3",3.61904761905,4.82142857143,4.66666666667,1.5,0.166666666667,0,1.45833333333,1.95833333333,1.08333333333,1.0,3.25,2.15476190476,4.03571428571,2.45238095238,0.625,0.291666666667,554.583333333,1.0,1.08333333333,166.75,0,4.66666666667
"X",6.29444444444,1.19444444444,3.58333333333,0.738095238095,0.694444444444,0.611111111111,3.83333333333,1.5,2.94444444444,0.742857142857,1.07142857143,3.18253968254,4.36111111111,7.44444444444,1.25,0.666666666667,4.08333333333,2.5,1.18253968254,0.5,1.0,423.023809524
"C2",1.06696428571,2.60267857143,1.5,1.66666666667,0.947916666667,0,0.333333333333,0.697916666667,38.5,1.83333333333,0.364583333333,3.43601190476,1.56696428571,562.535714286,2.58333333333,2.16666666667,1.66666666667,0,0.5,0,0.03125,0.833333333333
"D4",337.75,1.5,1.58333333333,0.5,0.333333333333,0.5,1.75,1.0,2.75,1.83333333333,0.25,0.75,2.5,1.25,0,1.0,0.5,0,0.75,0.5,0.25,3.58333333333
"D1",762.913492063,3.2380952381,3.16666666667,2.94444444444,0.5,0,0.5,0.533333333333,1.0,0.6,0,2.01587301587,2.86904761905,2.53571428571,1.0,1.0,0,0.5,1.0,0,0,1.5
"E1",0.5,0.333333333333,0.875,0,0.166666666667,0.333333333333,0.5,0,0.833333333333,0.666666666667,0.25,1.0,2.0,2.125,0.5,0.5,0.166666666667,0,697.958333333,0.333333333333,0,1.45833333333
"C1",7.11111111111,2.0,4.91666666667,2.69444444444,0.666666666667,0.5,428.494047619,4.375,1.58333333333,0,0.833333333333,3.27777777778,723.916666667,2.16666666667,1.45833333333,1.45833333333,2.66666666667,0.833333333333,1.5,0,0.333333333333,4.16666666667
"E3",2.33333333333,1.58333333333,2.83333333333,1.33333333333,0,192.333333333,1.5,1.5,1.0,0,0.25,1.0,0.75,0,1.25,1.5,0.333333333333,0,1.0,0,0,2.0
"E2",3.0,1.25,1.83333333333,1.41666666667,271.25,0.5,2.5,0,1.5,1.33333333333,0,2.0,0,2.75,2.33333333333,0.333333333333,0,0,1.0,0,0,2.25
