"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"F1",535,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"F2",0,0,0,1,0,1,0,306,0,0,0,0,0,1,0,0,0,0,0,0,2
"D2",46,0,0,1,0,0,1,0,459,0,0,0,0,0,1,0,1,0,0,0,0
"B4",3,1,0,1,0,1,1,0,120,195,661,0,1,0,0,1,0,0,0,0,0
"D3",0,1,0,0,0,1,0,0,0,137,188,1,2,0,0,0,0,227,1,0,0
"A1",36,0,0,1,0,664,0,0,0,2,0,0,2,0,2,2,260,1,0,0,2
"A3",0,1,0,0,1,0,1,0,0,444,0,1,506,0,1,0,0,0,0,0,0
"A2",0,298,509,1,2,1,1,0,1,0,38,2,2,0,0,1,0,0,402,0,0
"B1",41,1,0,0,544,0,2,199,0,0,0,0,0,0,0,0,0,1,0,0,2
"B2",0,0,0,789,1,1,2,0,2,0,0,0,1,1,0,0,0,0,1,1,0
"B3",0,0,3,1,0,0,957,0,1,0,2,1,1,2,0,1,0,0,0,0,0
"X",1,0,2,0,0,1,1,0,2,0,0,1,0,2,2,1,0,0,0,0,513
"C2",0,545,147,2,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,0,1
"D4",2,0,1,0,1,0,0,0,0,1,0,0,1,0,579,0,0,0,0,0,1
"D1",0,0,1,1,1,0,0,0,1,0,0,1,0,959,0,0,0,0,0,0,0
"E1",0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,905,0,0,0,0,0
"C1",906,0,3,2,1,0,0,1,3,0,0,428,62,0,0,0,1,0,0,0,2
"E3",0,0,177,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,325,1
"E2",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,491,297,1
