"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"F1",0,99,0,0,0,0,0,1,1,0,0,0,440,0,0,0,0,0,1,0,0
"F2",1,38,0,0,94,1,185,0,1,0,5,0,1,0,0,0,0,0,0,0,1
"D2",296,0,0,16,0,0,1,2,0,0,1,1,0,0,29,54,16,0,29,77,0
"B4",1,0,1,220,0,0,586,0,2,0,4,0,0,0,0,0,120,0,11,0,40
"D3",0,0,0,0,1,0,0,0,27,0,52,195,22,49,1,0,0,173,0,24,0
"A1",38,264,0,0,2,0,1,0,26,192,4,36,0,2,150,48,52,167,0,0,1
"A3",2,0,474,117,0,222,0,1,63,0,0,0,0,58,0,0,0,0,0,8,0
"A2",1,1,3,521,1,55,119,218,52,0,0,23,1,41,22,140,21,0,52,0,0
"B1",2,152,0,16,2,0,0,1,0,1,0,0,0,316,83,194,0,0,27,0,0
"B2",175,0,2,0,41,0,0,53,139,0,0,0,0,0,2,0,126,0,0,257,0
"B3",117,0,156,0,0,353,0,205,0,0,0,0,0,0,156,0,0,0,0,0,0
"X",54,1,13,0,2,1,1,3,1,2,0,5,0,3,0,1,1,6,0,2,407
"C2",1,109,0,1,0,0,2,164,9,0,339,1,0,2,12,10,0,0,0,53,0
"D4",66,0,237,0,240,0,0,0,1,0,0,0,0,0,0,0,62,0,0,0,0
"D1",636,0,176,1,0,2,0,257,3,0,0,0,1,0,1,0,0,0,0,0,0
"E1",0,0,0,0,0,0,0,0,0,900,0,0,0,1,0,1,0,0,0,0,0
"C1",0,304,153,7,573,1,1,0,287,1,0,0,40,23,0,2,2,13,0,0,0
"E3",155,0,1,0,0,0,0,0,1,201,0,192,0,1,0,0,0,0,0,0,0
"E2",475,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,299,1,1
