"1","2","3","4","5","6","LGb","LGc","LGa","LGf","LGh","LGg"
"1",51,24,610,1,602,2,0,0,0,0,0,0
"2",22,4,1,389,1,397,0,0,0,0,0,0
"3",727,32,0,24,4,0,0,0,0,1,0,0
"4",3,0,11,20,327,39,0,0,0,0,0,0
"5",507,24,2,1,1,2,0,0,0,1,0,0
"6",2,0,151,2,0,0,0,0,0,0,0,0
"7",180,15,1,6,0,3,0,0,0,0,0,0
"8",0,5,0,255,1,0,0,0,0,0,0,0
"9",0,2,281,1,0,0,0,0,0,0,0,0
"10",1,2,2,2,1,0,0,0,0,0,0,0
"11",0,2,1,0,10,0,0,52,0,0,0,0
"12",0,246,1,0,0,0,0,0,0,0,0,0
"13",28,143,0,27,0,0,0,0,0,0,0,0
"14",0,3,2,0,0,0,0,0,0,0,0,0
"15",1,1,1,0,1,1,56,0,0,0,0,0
"16",0,15,0,0,0,0,0,0,0,0,0,0
"17",0,5,1,2,1,1,0,0,0,0,0,2
"18",0,200,0,0,0,0,0,0,0,0,0,0
"19",1,4,0,2,1,0,0,0,0,0,0,0
"20",2,1,0,146,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,3,0
"22",0,0,0,0,0,1,0,0,1,0,0,0
"23",1,0,0,1,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,20,0,0,0
"26",0,4,0,171,0,0,0,0,0,0,0,0
"27",0,0,0,0,1,182,0,0,0,0,0,0
"28",2,0,0,0,1,0,0,0,0,0,0,0
"W",0,0,0,0,0,0,0,0,0,0,0,0
"Z",21,357,0,3,1,0,0,0,0,0,0,0
