"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","X"
"1",222,8,48,168,561,1,1,1,0,0,46,239,41,1,111,8,1,1,3,0,5,1,1,1,0,1,0,0,51,114
"2",38,1,0,233,0,1,11,24,1,1,1,0,81,279,1,2,0,3,1,54,1,112,84,144,1,0,8,0,1,1
"3",2,1,1,0,0,0,1,35,342,0,254,0,64,0,1,94,0,0,4,0,1,0,104,0,0,0,9,46,2,0
"4",1,1,0,0,0,370,1,18,1,0,29,2,16,2,1,0,96,0,1,0,0,0,1,1,1,0,74,0,0,216
"5",0,0,0,0,0,0,1,1,0,299,7,0,0,0,182,0,0,1,0,0,142,0,0,0,0,0,0,1,125,0
"6",0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,262,0,147,0,0
"7",44,343,23,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,307,0,0,0,0,1,1,1,1,0,1,0,0,103,0,0,0,1,5,0,0,0,2,0,0,0,1,1
"9",255,60,36,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0
"10",0,0,1,1,0,0,0,0,0,157,0,0,0,0,0,0,1,0,0,0,175,0,2,0,1,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,293,0,0,0,1,0,0,0,0,1,0,0,0
"12",0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,257,0,0,0,0,0,0,0,2
"13",0,0,0,0,0,0,235,0,0,6,1,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0
"14",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,300,0,0,1,0,1
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,1,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,2,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"17",0,0,3,0,0,0,0,35,0,0,207,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,1,0,0,0,0,0
"19",0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,207,0,0,0,0,0,61,0,0,0,1,1
"20",0,0,0,0,0,0,0,0,0,2,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",1,54,10,0,0,0,0,0,0,0,0,0,0,0,0,140,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"22",0,0,0,3,0,0,0,25,0,0,28,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
"23",2,121,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,1,0,0,106,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0
"25",0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"26",0,0,56,0,1,0,0,0,1,0,0,0,0,0,0,85,0,0,0,0,0,0,58,0,0,0,0,0,0,0
"27",0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,190,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z",0,1,1,1,0,9,92,239,0,51,0,0,0,0,1,1,0,2,0,134,0,2,1,41,0,0,9,0,0,0
