"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",279,1,3,0,104,12,59,165,323,1,158,0,1,45,93,0,0,32,0,1,123,0,1,110
"2",24,52,2,76,1,1,76,229,0,2,2,1,139,1,40,270,110,0,11,1,0,1,0,0
"3",1,0,0,433,65,0,0,0,1,0,3,0,44,263,0,0,0,1,143,0,0,0,0,0
"4",1,1,503,2,19,0,0,1,0,0,1,1,40,27,0,2,1,0,0,1,0,0,1,209
"5",1,1,0,1,3,0,0,0,1,404,305,0,0,1,0,0,1,0,0,0,0,1,0,0
"6",1,0,2,0,0,0,0,1,0,0,0,399,0,1,1,0,0,0,1,0,0,0,0,0
"7",0,0,0,0,2,350,0,0,1,0,0,0,0,0,23,0,5,0,1,0,15,0,0,0
"8",1,0,0,2,1,1,266,0,0,6,1,1,0,1,0,0,0,112,14,0,0,0,0,1
"9",2,2,1,0,3,98,0,0,0,0,0,0,0,0,92,0,148,0,0,0,7,1,0,0
"10",0,1,0,0,0,102,1,1,0,185,1,0,0,1,0,0,0,13,0,0,0,0,10,0
"11",0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,1,249,0,29,0,0
"12",17,0,1,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,2
"13",1,253,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"14",0,64,0,0,25,0,0,1,1,0,0,207,0,1,0,0,1,0,0,0,0,1,1,1
"15",108,0,0,0,1,1,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"16",0,3,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
"17",226,0,0,1,0,1,1,0,1,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0
"18",1,0,0,0,227,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"19",3,48,0,0,177,0,1,0,1,1,3,2,0,0,0,0,4,0,0,0,0,0,0,1
"20",0,0,0,0,256,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"21",0,0,0,0,1,0,190,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"22",0,0,0,0,6,0,0,2,0,0,0,0,62,26,0,0,0,0,0,0,0,0,0,0
"23",0,1,0,0,0,0,169,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,1,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,1,0,0
"25",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,98,0,0,0,0,0,0
"26",1,0,0,52,0,0,54,1,1,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0
"27",0,0,0,0,156,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",1,0,0,0,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,173,0,0
"W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z",225,273,9,1,0,1,1,1,0,1,1,1,50,1,2,0,0,1,0,1,0,2,0,0
