"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",71,81,135,4,5,67,191,11,7,48,205,418,266,0,14,4,5,1,4,0,138,202,42,159
"2",13,3,178,2,58,93,281,310,27,89,3,2,1,0,3,2,3,163,2,3,0,1,20,2
"3",161,302,0,1,1,499,0,47,3,0,2,0,0,1,0,1,3,0,1,74,1,0,0,1
"4",2,36,7,586,4,4,3,43,3,2,5,0,7,8,0,5,1,2,3,22,1,3,8,263
"5",1,5,0,3,0,1,5,5,2,0,375,1,0,438,86,1,14,1,2,1,0,0,0,7
"6",2,3,0,8,0,0,1,1,1,484,1,1,0,14,0,0,0,0,0,0,0,0,0,2
"7",2,407,31,0,0,0,1,0,0,6,1,1,0,0,0,0,1,0,1,1,15,0,0,0
"8",460,4,0,0,0,1,1,0,4,0,1,1,0,6,1,5,0,0,0,1,0,0,6,1
"9",3,114,273,0,0,1,4,0,0,0,0,0,1,0,0,0,3,0,1,1,8,0,0,2
"10",0,7,0,0,0,3,7,0,1,0,0,1,0,0,376,0,0,0,0,0,0,2,0,2
"11",4,0,2,0,0,1,0,6,0,0,0,0,0,2,0,290,0,1,33,2,0,0,0,1
"12",12,3,282,2,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5
"13",0,1,0,2,369,2,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1
"14",0,1,3,0,0,0,76,2,1,2,1,0,0,0,0,248,37,0,1,0,0,0,0,5
"15",0,1,0,0,0,0,0,0,0,0,1,183,0,1,0,0,1,0,1,1,0,146,0,1
"16",18,1,0,0,4,59,6,0,0,0,0,4,0,1,1,0,0,0,4,0,0,0,0,0
"17",4,1,1,0,1,2,0,1,260,1,1,0,0,0,25,1,0,0,1,0,0,1,0,1
"18",5,0,3,1,0,1,2,0,0,0,1,0,0,0,2,0,324,0,0,0,0,0,0,3
"19",3,0,1,0,0,2,80,0,2,0,14,0,0,2,0,2,222,0,0,0,0,1,0,4
"20",0,0,0,0,0,3,0,2,1,0,1,0,0,0,3,0,0,1,1,305,0,1,0,0
"21",233,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1
"22",0,31,0,0,1,0,3,73,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"23",207,0,0,1,0,4,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,2
"24",0,0,1,0,0,0,0,0,0,0,156,0,1,0,0,0,0,0,1,0,0,1,0,0
"25",132,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"26",154,0,1,0,0,69,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
"27",1,0,0,0,0,0,2,0,0,1,2,2,1,3,3,0,204,0,0,0,0,0,0,1
"28",0,1,0,0,2,0,0,0,0,0,0,1,0,1,2,1,2,0,216,0,0,0,0,1
"W",0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Z",5,26,9,11,302,0,1,11,291,0,5,0,0,1,0,1,0,49,4,7,0,0,0,2
