"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",79,149,341,47,10,19,29,17,51,207,417,6,68,199,9,7,271,3,8,5,164
"2",20,185,256,104,11,63,12,302,91,6,9,8,2,6,29,3,4,164,9,3,12
"3",169,3,2,496,7,3,6,52,4,76,4,1,290,9,3,4,2,0,2,4,11
"4",45,12,1,11,552,14,13,43,8,22,7,5,36,7,3,5,6,6,7,5,270
"5",5,2,2,7,7,4,508,7,3,6,6,1,8,372,5,9,5,3,2,4,21
"6",4,1,2,1,8,0,12,2,478,1,1,1,4,1,2,0,2,1,0,0,5
"7",4,33,18,1,3,5,8,0,5,2,8,351,50,1,1,1,0,1,3,4,2
"8",451,0,0,2,4,2,8,4,2,1,2,0,5,1,6,2,0,1,1,1,3
"9",4,259,14,4,1,2,1,3,0,4,1,91,21,0,3,4,0,0,1,0,4
"10",3,0,6,4,2,1,362,1,1,2,1,1,5,1,3,0,1,2,0,0,3
"11",6,2,0,3,1,0,5,8,0,2,3,0,0,1,2,0,2,2,34,281,3
"12",9,236,0,0,4,4,2,2,3,4,41,0,2,3,18,1,1,0,2,0,7
"13",5,1,1,3,3,314,7,2,2,2,1,1,1,2,1,1,1,2,2,3,2
"14",3,4,72,2,1,4,1,3,4,1,3,2,6,1,6,37,0,0,4,239,7
"15",2,4,1,2,1,2,1,2,1,122,173,0,2,4,0,3,1,1,1,0,4
"16",14,0,12,43,0,4,2,0,0,0,4,0,1,0,0,0,0,0,4,0,0
"17",9,8,2,6,1,4,30,0,6,10,5,2,4,4,258,0,1,1,2,2,6
"18",6,2,3,1,2,2,3,0,0,2,1,4,0,1,2,305,0,2,0,1,6
"19",6,2,59,4,2,3,4,1,2,8,0,1,3,13,3,201,2,0,2,4,7
"20",2,3,0,3,4,2,6,4,2,298,1,3,1,0,1,0,0,1,1,1,2
"21",221,2,2,2,2,1,2,0,2,2,1,1,1,0,0,2,3,0,0,1,4
"22",0,4,4,2,1,6,3,72,4,7,1,0,32,4,1,1,1,3,0,0,1
"23",193,3,0,6,2,0,3,0,3,1,0,1,1,0,0,2,1,1,0,0,3
"24",2,1,2,0,0,3,0,1,0,0,1,0,3,151,0,0,1,1,2,0,1
"25",125,2,2,3,1,0,2,1,1,3,1,0,1,0,1,0,1,0,0,0,2
"26",153,1,0,68,1,4,0,1,2,1,4,0,1,1,0,0,1,0,0,0,2
"27",4,0,1,2,1,1,6,3,2,0,3,1,0,2,0,194,2,1,1,1,2
"28",1,0,1,1,2,4,5,1,0,1,2,0,2,1,0,2,0,0,199,2,2
"W",0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0
"Z",22,11,2,10,4,299,4,12,6,10,1,3,26,9,281,1,2,49,5,3,6
