"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","Z"
"1",1704.21666667,3.83333333333,0,0.5,1.5,0.25,0,11.75,2.66666666667,1.0,0.75,0,0,1.5,0.75,0.5,0,0,0.5,0,1.0,0,0.25,0,0,0.5,0,1.5,0,0,0.5
"2",1.75,1.0,639.666666667,1.0,0.833333333333,454.75,1.0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,1.5,0,0,0,0,0,0,2.5,0,1.5
"3",5.91666666667,1010.88095238,0,0,0.75,0,0,0,0.166666666667,0,0,0,0,0,0,0,0.5,0,0.5,0,0,1.0,0,0,0.833333333333,0,0,1.0,0,0,0
"4",2.5,0,3.0,665.25,0,0,0.5,1.75,243.25,2.0,1.0,0,0,0.25,0.5,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
"5",2.0,1.25,2.0,0,782.916666667,0,0,1.0,0,0,1.0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0.333333333333
"6",3.25,0,0,0.75,0,0,0,430.0,0,0,0,0,0,0.5,0,0,0,0,2.0,0,0,0,0,0.5,0,0,0,0,0,0,0
"7",1.0,0.333333333333,0,0,0,0.5,406.25,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1.0,0,0,0
"8",0.5,0.75,0.5,0,0,0,0,0.25,0,434.75,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.25,0,0,0.25,0,0,0,0,0.75,0,355.5,0,2.0,0,0,0,0,0,0,0,2.0,0,1.25,0,0,0,0,0,0,0,0
"10",0,0,0,0,0.25,0,0,0,0,1.0,0,337.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.333333333333
"11",0,0,0,0,0,0,0,0,0,0,0,0,308.0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0
"12",2.0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,285.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0
"13",0.25,0,1.0,2.0,0,0,0,0,0,0,0.5,0,0,5.75,278.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0
"14",1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.416666667,0,0,0,0.916666666667,0,0,0,0,0,0,0,0,0,0,0
"15",6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,16.75,0,1.0,0,0,0,0,0,0,0,0,230.5,0,0,0,0,0,0,0.25,0,0,0,0,0
"18",1.0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2.08333333333,0,0,0,240.083333333,1.0,0,0,0,0,0,0,0,0,0,0
"19",0,0,5.0,0,0.5,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,248.083333333,0,0,1.66666666667,0,0,0,0,0,0,0
"20",0,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,281.75,0,3.0,0,0,0,0,0,0,0
"21",0.25,0,0,0,0,0,0.25,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,213.75,0,0,0,0,0,0,0,0
"22",1.0,0,0,0,6.0,0,0,2.0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,86.25,0,0,0,0,0,0,0
"23",0,0.5,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,176.5,0,0,0,0,0,0
"24",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,5.0,0,0,0,0,0,140.75,0,0,0,0,0
"25",3.25,16.25,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,46.5,0,0,0,1.5
"26",4.0,4.5,0,0,0.25,0,7.0,0,1.0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,182.5,0,0,0
"27",1.0,0,1.5,0,0,2.0,2.0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.5,0,0
"28",1.0,0,0,1.0,0,0,0,3.0,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,179.0,0.25
"W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
"Z",1.2,0.952380952381,2.33333333333,0,0,0,0,0,0,1.0,0,0.166666666667,0,0,0,1.0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,1.25,478.75
