"1","2","3","4","5","6","7","8","Un","X"
"1",35,111,44,605,15,30,316,818,62,21
"2",20,18,637,15,10,163,8,378,52,11
"3",405,667,9,13,3,4,2,7,28,3
"4",64,19,14,27,622,10,11,9,28,249
"5",510,6,11,5,331,8,3,14,57,7
"6",507,3,0,0,9,4,0,1,25,1
"7",7,39,6,282,1,2,128,3,10,0
"8",20,447,3,4,2,8,2,0,19,2
"9",5,82,18,73,3,1,231,7,17,2
"10",374,11,10,3,3,4,4,8,1,7
"11",325,18,10,27,2,6,2,4,6,1
"12",3,11,3,5,3,285,3,4,11,3
"13",326,5,4,2,6,2,2,5,3,7
"14",6,6,15,4,3,364,3,2,1,0
"15",3,3,285,5,1,2,3,0,23,1
"16",13,80,2,4,6,1,2,3,3,0
"17",271,10,6,8,3,2,1,1,2,1
"18",6,262,1,3,2,6,4,1,13,0
"19",8,246,3,9,4,3,7,4,16,2
"20",306,3,8,2,0,2,3,2,4,0
"21",2,21,2,185,0,2,4,3,21,0
"22",114,1,0,1,0,1,2,1,2,0
"23",0,10,6,200,1,0,0,2,3,1
"24",0,3,0,161,0,0,0,0,0,1
"25",4,130,8,2,0,3,2,0,3,2
"26",3,227,1,3,4,0,0,4,3,0
"27",6,195,29,3,0,6,0,2,4,1
"28",7,0,225,3,2,2,1,3,31,4
"W",1,0,5,0,0,2,0,1,0,0
"Z",46,14,340,11,15,299,1,2,22,1
