"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",74,138,388,72,9,12,17,11,50,189,422,4,64,195,6,8,257,1,6,5,138
"2",15,172,272,95,7,58,7,297,87,7,6,4,1,4,25,3,2,161,1,3,7
"3",145,5,3,484,4,1,4,49,4,71,2,2,286,2,2,3,1,1,1,0,6
"4",37,8,3,5,535,8,12,43,5,22,1,3,35,7,6,2,6,4,4,5,256
"5",4,1,2,3,4,2,496,5,2,2,5,2,5,348,4,6,2,1,2,1,15
"6",5,3,3,0,9,0,10,3,467,1,1,0,4,3,1,0,1,1,0,0,2
"7",4,31,20,1,0,0,0,0,3,2,2,334,49,2,1,1,0,0,1,1,1
"8",433,0,2,3,1,0,7,1,0,2,0,0,7,1,4,0,0,0,0,2,2
"9",2,258,11,3,0,1,1,1,0,1,1,94,18,1,1,2,2,0,1,0,2
"10",4,0,5,3,1,0,350,2,1,2,1,2,3,0,1,0,0,0,0,0,2
"11",3,3,0,1,0,1,2,6,0,2,1,0,0,0,0,0,0,1,31,271,1
"12",7,233,0,0,1,2,0,0,1,1,40,1,3,3,18,0,1,0,1,1,6
"13",4,3,3,4,1,313,3,1,1,3,0,1,2,0,1,1,0,3,2,2,4
"14",0,1,70,3,1,1,1,0,3,1,0,0,1,0,4,36,0,0,1,229,4
"15",1,3,1,0,1,1,1,1,1,123,175,0,1,2,0,1,1,0,2,0,2
"16",21,0,6,48,0,4,2,0,0,0,4,0,1,0,0,0,0,0,4,0,0
"17",6,3,3,2,2,2,13,0,5,5,3,1,1,1,242,0,0,0,1,1,1
"18",3,2,1,3,3,1,2,1,0,0,0,0,0,0,1,300,0,0,0,0,2
"19",5,1,71,3,0,2,4,2,2,3,0,0,2,16,2,213,0,0,0,3,2
"20",0,0,0,2,0,0,4,2,1,293,1,0,0,0,1,0,0,1,1,0,0
"21",214,6,1,0,0,1,0,1,3,1,1,0,1,0,0,1,0,0,0,1,1
"22",0,3,4,2,1,3,1,72,1,9,2,0,31,1,0,0,0,1,0,0,1
"23",198,1,0,5,0,1,2,0,1,0,0,1,0,0,0,0,0,2,0,0,3
"24",1,1,1,0,0,2,0,1,0,0,2,0,0,148,1,0,1,1,1,0,0
"25",126,2,1,2,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0
"26",148,2,0,65,0,2,1,0,2,0,3,1,1,1,0,0,0,0,0,0,2
"27",2,2,1,0,2,1,4,1,2,0,3,0,0,4,1,200,1,0,1,0,2
"28",0,0,0,2,2,3,4,0,1,0,2,0,3,0,0,2,0,1,193,1,2
"W",0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0
"Z",20,10,2,8,0,287,1,12,1,7,3,0,26,6,270,2,0,47,6,1,2
