"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",191,84,21,459,19,50,413,89,86,27,239,53,43,18,164,74,95,18,15,45,145
"2",42,74,19,213,144,34,158,159,46,20,8,6,27,34,15,16,250,117,7,6,7
"3",205,6,87,10,50,221,0,66,117,4,3,0,111,64,42,13,19,3,38,95,7
"4",29,162,35,56,11,6,7,9,13,6,12,7,6,324,22,117,10,10,31,6,220
"5",274,9,273,5,9,448,6,1,5,1,1,0,5,6,38,4,0,1,3,1,11
"6",363,5,3,16,3,2,1,1,0,2,0,0,1,9,52,59,1,0,0,77,2
"7",5,1,161,3,5,2,2,9,198,1,26,0,44,0,0,2,1,8,0,16,1
"8",8,132,2,12,171,6,1,2,2,2,2,1,128,25,2,1,2,1,0,0,2
"9",4,128,2,11,3,2,2,57,104,3,109,3,0,1,2,0,2,9,0,9,6
"10",119,2,56,2,2,29,2,204,2,1,1,3,3,1,5,1,2,0,0,17,4
"11",48,2,6,2,1,3,0,2,0,0,0,0,1,2,3,10,2,1,279,20,1
"12",6,8,1,132,2,4,2,87,1,0,1,5,4,7,24,50,24,2,2,3,7
"13",4,8,0,3,0,1,4,2,0,146,1,1,1,1,1,3,53,174,2,0,5
"14",79,1,2,2,1,3,1,2,3,219,1,75,2,1,2,0,0,1,2,1,7
"15",7,2,6,5,2,3,3,0,0,5,50,199,0,46,3,0,1,0,1,29,2
"16",0,2,2,3,2,1,0,2,0,5,0,6,6,6,2,0,6,0,0,223,0
"17",10,5,240,5,45,7,3,4,3,4,4,1,3,2,2,0,3,3,2,5,4
"18",1,2,3,2,7,2,1,1,0,324,0,3,2,1,0,2,1,2,0,0,5
"19",11,5,2,3,3,2,3,5,3,225,0,68,2,2,3,1,1,1,1,0,0
"20",5,5,307,1,1,0,2,3,4,0,0,0,2,1,0,0,3,0,0,2,0
"21",2,3,7,1,225,4,1,1,0,4,3,0,0,1,2,1,0,0,2,0,1
"22",1,0,9,30,0,0,0,0,1,1,0,0,0,4,27,45,0,2,0,0,1
"23",4,10,2,1,207,3,1,0,1,0,1,1,1,4,1,1,0,0,1,2,3
"24",2,1,1,3,1,0,1,156,0,0,4,0,0,0,3,0,0,0,1,0,0
"25",0,120,4,2,3,0,0,0,0,1,1,1,13,0,2,0,1,2,0,0,1
"26",2,72,2,3,1,5,2,1,20,1,0,0,90,0,1,1,1,1,0,46,4
"27",8,13,6,3,2,3,1,5,1,206,2,1,2,2,4,2,3,1,0,1,3
"28",7,3,1,1,0,2,109,5,33,3,2,11,0,0,2,59,0,2,0,2,2
"W",0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Z",76,231,11,25,182,1,4,5,24,5,0,2,3,16,4,22,59,106,2,1,7
