"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",117,49,1,322,2,29,363,61,50,5,195,37,26,2,136,44,44,2,8,29,97
"2",31,57,3,149,121,31,138,132,33,14,5,0,20,24,11,10,182,99,4,1,1
"3",167,0,70,3,39,198,0,50,90,4,0,0,101,52,35,13,16,0,30,84,0
"4",11,135,25,47,1,1,2,3,2,1,0,3,0,271,0,104,0,5,23,3,179
"5",212,0,189,0,1,324,0,0,1,0,0,0,0,0,31,0,0,0,0,0,1
"6",265,0,0,12,1,0,0,0,0,0,0,0,0,0,26,50,1,0,0,66,0
"7",0,0,146,0,0,0,1,4,174,0,24,0,41,0,0,1,0,4,0,14,0
"8",5,111,1,7,146,5,0,1,0,1,0,0,118,20,0,0,0,0,0,0,1
"9",1,112,1,1,0,0,0,45,88,2,83,1,0,0,1,0,0,9,0,8,0
"10",103,0,42,1,0,1,0,181,0,0,1,1,1,0,0,0,0,0,0,1,0
"11",31,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,257,0,0
"12",2,1,0,120,0,0,0,75,0,0,0,1,0,1,22,37,17,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,1,46,83,0,0,0
"14",68,0,1,1,1,1,0,1,0,186,0,69,0,1,2,0,0,0,0,0,1
"15",0,0,1,0,0,0,0,0,0,1,45,177,0,39,1,0,0,0,0,19,0
"16",0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,8,0
"17",1,0,207,0,23,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0
"18",0,0,0,0,1,0,0,0,0,242,0,1,1,0,0,0,0,0,0,0,0
"19",3,0,1,0,1,0,0,3,1,200,0,55,0,0,1,0,0,0,0,0,0
"20",0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,198,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
"22",0,0,8,26,0,0,0,0,1,0,0,0,0,2,22,42,0,0,0,0,0
"23",0,0,0,0,183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"24",1,0,0,0,0,0,0,144,0,0,0,0,0,0,2,0,0,0,0,0,0
"25",0,89,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"26",0,58,0,1,0,0,0,0,18,0,0,0,82,0,0,0,0,0,0,40,0
"27",1,0,0,0,0,0,1,0,0,170,0,0,0,0,2,0,0,0,0,0,1
"28",1,0,0,0,0,0,95,1,25,1,0,7,0,0,1,53,0,0,0,0,0
"W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z",63,199,0,1,143,0,0,2,13,1,0,0,0,12,1,11,39,94,1,0,0
