"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",1746,1,0,0,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"3",0,1,945,0,0,1,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0
"4",2,0,0,648,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"5",0,1,0,1,487,1,1,0,1,0,1,0,0,0,0,0,755,0,0,0,0,0,0,0
"6",0,0,0,0,0,880,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"7",0,0,0,0,0,1,756,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
"8",1,0,0,2,0,1,0,592,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
"9",0,0,1,1,0,0,0,0,653,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"10",0,0,1,0,0,0,0,0,0,642,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"11",0,0,0,0,0,0,0,1,0,0,1101,0,0,1,0,0,0,0,1,1,0,0,0,0
"12",2,0,1,0,0,0,1,0,0,0,0,904,0,0,0,0,0,1,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,1,0,0,0,0,525,0,0,0,0,0,0,0,0,0,1
"15",0,0,0,0,0,0,1,0,2,0,0,0,0,2,507,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,705,0,0,2,0,1,0,0,0
"17",0,0,0,0,259,0,0,0,0,0,0,1,0,0,0,0,228,1,1,0,0,0,0,2
"18",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,0,0,0,0,0
"20",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,0
"21",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,368,0,0
"X",0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,664
"2a",0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2b",0,545,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
