"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",486,38,491,1282,509,10,16,50,6,4,42,59,50,7,4,7,4,5,4,0,8
"3",4,2,136,4,0,165,2,3,368,9,3,1,2,86,8,304,13,5,3,0,2
"4",3,7,172,7,380,23,12,113,14,2,3,4,37,5,6,4,4,3,1,2,4
"5",14,8,20,5,14,7,2,8,3,23,998,1,106,1,4,4,20,196,1,0,5
"6",41,5,9,45,6,4,6,1,78,224,6,0,201,5,6,2,399,2,3,0,6
"7",2,5,3,5,351,347,10,1,25,6,51,65,165,1,1,2,3,2,1,0,4
"8",55,12,43,67,4,2,42,145,9,1,1,2,4,94,220,8,3,5,2,0,3
"9",6,252,3,412,3,11,5,8,7,2,6,0,73,1,2,1,2,3,72,0,1
"10",11,84,3,2,2,24,90,7,3,81,5,2,50,102,1,3,0,26,295,0,1
"11",3,269,2,2,3,3,406,3,372,3,3,2,0,2,0,2,2,0,319,0,2
"12",4,6,2,2,212,297,5,6,11,292,9,2,8,0,199,7,4,3,3,73,15
"13",8,4,23,0,36,0,0,55,10,1,1,2,0,163,2,0,1,1,2,0,2
"14",0,2,1,3,0,7,4,0,6,1,2,425,1,172,1,0,1,1,1,0,3
"15",3,180,3,4,3,1,138,1,236,1,3,8,2,2,2,1,6,1,1,0,1
"16",2,2,2,3,0,5,185,351,3,2,17,8,18,10,0,91,127,1,2,0,3
"17",0,4,2,1,6,2,1,2,3,0,269,0,188,1,85,0,5,5,1,1,5
"18",25,1,0,1,5,1,1,1,0,1,3,0,1,0,1,2,28,184,0,0,1
"19",6,3,1,2,3,2,760,200,76,151,10,18,284,1,1,3,114,1,2,0,9
"20",1,473,17,0,1,2,2,3,3,5,1,0,3,2,1,1,1,2,2,0,0
"21",2,0,0,1,0,37,2,0,3,35,1,0,0,0,0,109,20,1,0,0,0
"22",2,2,5,0,27,17,3,6,2,41,48,2,0,1,225,60,2,1,2,0,7
"X",6,8,6,8,8,7,5,4,7,7,9,23,4,1,6,2,5,3,6,85,846
"2a",62,42,3,2,54,141,10,5,7,18,65,93,1,1,1,1,102,0,1,0,3
"2b",384,180,3,3,3,1,3,4,2,5,5,1,2,3,3,4,3,17,1,0,2
