"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",17,5,15,5,2,0,4,6,13,2,3,10,1148,14,5,309,8,10,6,1,2,13
"3",7,4,6,7,1,0,8,5,375,3,3,6,8,539,3,0,2,6,2,0,0,4
"4",10,190,5,5,6,1,8,3,5,2,4,5,11,8,446,3,7,4,1,0,2,9
"5",16,6,379,4,3,2,8,5,4,2,64,4,10,5,4,2,6,34,565,0,2,8
"6",8,4,3,4,2,0,3,4,6,2,5,804,4,4,8,5,1,1,2,1,2,7
"7",8,4,6,5,1,39,204,1,6,224,1,2,51,2,5,1,5,1,5,0,0,14
"8",12,96,279,6,0,1,5,2,6,3,4,5,5,3,17,1,6,7,2,2,0,11
"9",446,5,3,5,0,1,5,1,10,2,0,1,11,4,0,3,2,0,5,0,1,4
"10",18,7,3,3,2,2,9,2,2,1,1,4,3,5,2,108,1,460,4,0,1,5
"11",849,6,5,8,3,0,6,1,1,4,1,5,3,2,3,2,1,1,2,0,0,10
"12",7,3,4,384,4,2,8,266,4,4,3,7,6,4,6,3,6,2,4,0,90,8
"13",3,4,2,0,0,0,2,153,2,0,1,0,0,6,0,3,4,3,0,0,0,3
"14",4,3,1,1,0,1,5,2,3,1,1,1,4,1,2,1,251,4,2,175,0,4
"15",7,2,23,3,2,0,7,3,3,2,2,1,2,5,3,0,302,2,3,0,0,3
"16",3,3,4,6,244,169,5,1,2,3,1,7,1,4,4,3,1,1,5,0,0,3
"17",3,0,3,3,2,1,2,0,9,1,181,3,5,4,0,1,1,8,231,1,0,7
"18",1,1,1,1,0,1,0,1,231,2,1,0,1,2,3,1,0,12,0,1,0,0
"19",8,1,3,4,74,0,5,0,3,0,2,3,4,4,1,0,3,2,1,2,0,6
"20",4,1,1,243,0,0,0,1,4,2,1,7,2,5,1,0,0,0,1,0,1,3
"21",1,4,1,0,0,0,2,1,1,1,0,1,1,59,0,0,0,1,1,0,0,1
"22",2,2,2,49,0,0,0,5,1,0,1,1,3,1,0,1,2,2,0,1,62,5
"X",18,5,8,3,4,1,6,11,8,0,4,8,13,16,3,4,5,7,5,1,1,546
"2a",5,496,4,2,3,1,2,4,4,3,4,6,8,4,1,4,3,3,3,0,2,4
"2b",6,5,7,8,3,0,456,5,4,3,3,4,6,2,3,4,3,2,6,0,2,2
