"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",3,407,1,5,591,1,0,1,0,29,3,0,435,22,3,1,18,0,34,0,0
"3",2,117,1,134,0,2,2,291,10,3,233,1,0,2,32,49,0,0,0,0,0
"4",1,152,0,18,1,1,0,0,0,1,0,0,1,305,0,64,0,0,27,0,0
"5",8,32,0,3,1,0,0,0,14,820,1,0,0,1,0,2,55,161,0,0,1
"6",172,1,0,0,40,0,0,51,138,0,1,1,0,0,3,0,121,0,0,256,0
"7",0,0,2,371,0,52,1,12,1,1,1,177,0,40,0,0,18,1,0,0,0
"8",2,40,1,0,101,1,186,1,0,0,6,0,2,0,80,122,0,0,0,0,1
"9",64,1,224,0,233,0,1,0,1,0,0,0,0,0,0,1,58,0,1,0,0
"10",287,0,0,15,1,0,0,1,1,1,0,0,0,0,26,53,119,0,4,71,0
"11",575,0,163,1,1,3,1,248,1,0,0,0,1,0,1,0,0,0,0,0,0
"12",1,0,0,205,1,0,381,1,1,2,3,175,0,0,0,0,1,0,0,0,36
"13",0,20,0,1,0,0,0,0,7,0,0,34,0,0,144,46,0,0,0,0,0
"14",0,0,1,0,2,345,0,2,0,0,0,0,0,0,133,0,0,0,0,0,0
"15",121,0,140,0,1,1,0,199,0,0,0,0,0,2,1,0,0,0,0,0,0
"16",152,0,1,0,1,0,0,0,0,198,0,0,0,1,0,4,0,0,288,0,1
"17",33,207,0,1,0,1,1,0,1,209,0,0,0,0,0,0,0,1,0,1,0
"18",0,0,0,0,1,0,0,0,22,0,0,0,21,1,0,0,0,168,0,0,0
"19",475,1,0,0,0,0,132,60,46,2,0,27,1,1,0,89,1,0,51,2,0
"20",0,2,430,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"21",1,0,0,0,0,1,0,0,0,0,95,0,0,0,0,0,0,0,0,48,0
"22",1,0,0,10,0,0,168,1,1,0,49,18,0,46,0,0,0,0,6,24,0
"X",49,1,14,0,3,1,1,4,1,2,0,6,0,2,0,0,2,4,0,3,413
"2a",2,0,40,114,0,213,0,1,61,1,0,0,0,55,0,0,0,0,0,7,0
"2b",0,0,150,1,0,0,1,0,287,0,1,0,42,0,0,1,0,14,0,0,0
