"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",7,11,6,13,6,7,969,5,8,9,6,10,5,4,6,0,3,512,345,1,2,4,0,6
"2",18,4,5,3,7,569,5,0,4,2,7,1,3,589,3,4,2,3,3,0,2,2,0,5
"3",1,7,2,3,2,4,2,2,3,4,5,3,2,2,660,0,318,0,3,1,23,1,0,3
"4",6,5,676,3,1,1,0,1,2,2,2,1,1,0,2,1,0,0,1,2,0,0,0,2
"5",5,766,7,5,1,2,2,2,3,5,5,1,5,2,0,0,0,2,0,3,1,1,0,1
"6",6,3,1,904,8,7,4,6,13,2,4,1,0,4,2,0,1,2,0,1,0,2,0,3
"7",8,245,3,4,6,4,5,564,14,4,7,3,3,3,1,2,14,1,2,1,1,1,0,1
"8",2,1,1,2,4,4,2,0,2,2,1,5,233,0,0,391,1,0,2,0,0,1,0,0
"9",724,5,6,2,5,7,6,1,4,4,3,4,1,2,0,1,0,7,0,0,1,0,0,6
"10",9,3,4,5,5,8,139,0,4,3,2,528,1,2,2,3,1,0,0,0,2,3,0,2
"11",8,12,2,9,10,3,7,6,2,7,1173,4,4,3,7,3,2,3,4,1,1,6,0,5
"12",9,7,9,13,10,7,4,8,873,7,5,2,6,6,4,0,7,1,3,1,1,2,0,5
"13",175,0,0,2,132,5,0,2,1,3,0,0,2,2,1,2,0,1,0,0,0,0,0,0
"14",8,0,2,0,2,2,1,3,2,554,1,2,3,2,4,5,1,3,1,1,0,2,0,6
"15",4,1,2,3,1,149,0,0,2,387,1,1,0,2,3,4,0,17,1,4,2,2,19,2
"16",8,4,3,3,5,5,3,1,6,2,2,403,16,4,22,2,5,2,3,351,3,9,0,1
"17",8,3,5,4,1017,2,4,3,3,8,1,6,1,3,0,2,2,3,0,1,0,0,0,7
"18",3,4,1,1,2,1,1,1,0,2,1,2,247,2,2,1,1,0,0,0,1,0,0,0
"19",15,9,3,7,12,6,1,3,3,5,6,5,7,16,1,6,3,4,2,1,1,1086,0,1
"20",5,0,3,0,501,2,2,1,3,0,0,0,2,1,2,0,1,1,2,0,0,1,0,1
"21",2,1,2,1,1,1,1,0,3,0,1,1,0,1,0,1,1,0,0,0,187,0,0,0
"22",334,3,1,1,3,1,5,3,1,2,5,1,2,7,0,4,3,1,0,0,0,5,0,2
"Y",2,0,2,0,12,3,0,0,0,0,0,0,0,0,0,2,10,0,0,2,0,0,26,66
"X",5,3,2,4,3,4,3,6,3,4,2,2,2,1,3,2,2,1,0,1,1,1,3,771
