"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","Y","X"
"1",472,0,448,672,24,7,4,39,0,0,29,0,16,3,0,3,0,0,0,0,0
"2",424,212,0,0,50,124,3,0,1,9,57,94,0,1,0,2,101,14,0,0,0
"3",0,0,127,0,0,142,0,0,318,0,0,0,0,89,0,268,10,0,0,0,0
"4",0,0,168,0,340,19,1,110,1,0,0,0,0,0,0,0,0,0,0,0,0
"5",8,0,0,0,0,0,0,0,0,0,162,0,282,0,82,1,18,191,0,0,0
"6",35,0,1,43,0,0,1,0,56,217,0,0,142,3,0,0,361,0,0,0,0
"7",0,1,0,0,327,302,0,0,11,0,45,61,18,0,1,0,0,0,0,0,0
"8",54,0,40,61,0,0,1,125,0,0,0,0,3,89,204,5,0,0,0,0,0
"9",0,251,0,252,0,0,1,0,0,0,0,0,66,0,0,0,0,0,72,0,0
"10",0,88,0,0,0,18,81,4,0,82,1,0,20,90,0,0,0,21,236,0,0
"11",0,172,0,0,0,0,362,0,283,0,0,0,0,0,0,0,0,0,273,0,0
"12",0,0,0,0,198,227,1,0,1,281,0,0,0,0,179,4,1,0,0,0,0
"13",7,0,23,0,39,0,0,52,0,0,0,0,0,162,0,0,0,1,0,0,0
"14",0,1,0,0,0,0,0,0,0,0,0,382,0,153,0,0,0,0,0,0,1
"15",0,153,0,0,0,0,130,0,216,0,0,0,0,1,0,0,1,0,0,0,0
"16",0,1,0,0,0,0,167,324,0,0,7,0,0,0,0,85,119,0,0,0,0
"17",0,0,0,1,0,0,0,1,0,1,983,0,0,0,0,0,0,0,0,0,0
"18",22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,29,182,0,0,1
"19",1,0,0,0,0,1,539,188,70,127,1,1,2,0,1,0,87,0,0,0,1
"20",0,475,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,106,19,0,0,0,0
"22",0,0,0,0,26,12,0,6,0,27,48,0,0,0,190,54,0,0,0,0,0
"Y",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"X",0,0,0,0,3,0,1,0,1,0,2,1,0,1,0,0,0,1,2,0,530
