"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",8.31764069264,442.673243423,3.0433244916,7.63644688645,654.913608901,3.70841658342,0.125,1.57692307692,1.58333333333,32.3269230769,4.45833333333,2.33333333333,467.166666667,24.7550839965,4.61140583554,1.57692307692,19.4791666667,2.16666666667,34.3541666667,1.08333333333,4.09003831418
"2",4.68333333333,1.64285714286,211.296190476,124.666666667,2.03571428571,241.166666667,1.5,2.5,380.80952381,1.33333333333,2.5,0.6,42.6428571429,57.8333333333,0.833333333333,1.0,0.5,16.4761904762,2.0,9.16666666667,1.58333333333
"3",3.73333333333,124.366666667,1.03333333333,146.925,0.0333333333333,0.6,3.28333333333,314.433333333,8.42424242424,2.16666666667,254.358333333,1.06666666667,1.03333333333,3.73333333333,36.8666666667,54.0666666667,0.0333333333333,0.533333333333,0.0666666666667,0.783333333333,1.55
"4",3.22485847486,168.269480519,0.5,20.1666666667,2.0,0.843073593074,0,1.5,1.08333333333,0.75,0.583333333333,0.166666666667,0.75,338.333333333,1.25,73.75,1.5,1.5,28.5,0,1.5
"5",44.0833333333,261.316666667,0.25,1.33333333333,1.25,0.5,2.0,0.25,17.2833333333,162.65,1.5,0.25,0.5,3.25,1.0,3.0,58.1,204.616666667,0,0.5,2.61666666667
"6",187.916666667,2.15,1.75,1.61428571429,43.1666666667,0.125,0.45,53.75,144.0,0.5,0.333333333333,0.5,1.0,0.666666666667,3.2,0.2,137.240909091,0.2,0.166666666667,276.5,2.0
"7",0.309523809524,1.10476190476,2.33333333333,403.1,1.58333333333,62.9023809524,1.0,10.5,2.25,1.25,0,210.273809524,1.0,44.25,0.25,0.583333333333,21.5,0,0.75,0,2.66666666667
"8",3.09743589744,40.5,0.95,0.333333333333,110.5,1.33333333333,206.733333333,0,0,0.75,6.0,0,1.0,0.2,87.5,127.0,0.5,0.166666666667,0,1.0,1.5
"9",70.7333333333,0.5,250.611794872,1.16666666667,249.194444444,1.5,0.583333333333,0.75,1.55555555556,0.5,0,1.48333333333,0,0.166666666667,0,0.833333333333,66.3333333333,1.33333333333,0,0,0.75
"10",312.333333333,0.5,1.04,19.0,0.5,1.33333333333,0.5,0.333333333333,1.33333333333,1.83333333333,0.5,0,0.333333333333,0.833333333333,30.5,57.3333333333,130.666666667,0,4.0,81.0,1.0
"11",629.548701299,2.51917466591,168.983333333,2.14285714286,0.65,2.20324675325,1.0,272.11568323,1.58333333333,0.416666666667,1.05952380952,0,1.83333333333,0.742857142857,2.24782608696,0.5,0,0.25,0.142857142857,1.0,0.333333333333
"12",3.84285714286,1.08333333333,0.392857142857,219.335714286,0.85,3.14285714286,406.916666667,1.78333333333,4.6,0.642857142857,4.83333333333,192.892857143,2.83333333333,0.2,1.09285714286,1.25,0.75,0,0.5,1.0,45.2
"13",1.08333333333,23.5,1.0,0.416666666667,0.5,0.5,0.166666666667,0,7.25,0.583333333333,0,36.6666666667,0,0.833333333333,155.0,48.6666666667,0,1.41666666667,0.0833333333333,0,0.833333333333
"14",1.66666666667,1.2,2.03,2.0,0.2,370.366666667,0.75,0,0,1.0,0.5,0,0.25,1.0,149.756410256,0,0.5,1.0,0.5,0.5,1.77692307692
"15",128.5,0.125,154.831538462,0,0.833333333333,0.125,0.125,211.125,0.5,0.333333333333,0,0.25,0.5,0,2.625,0.5,2.58333333333,0,0.75,0.75,0.625
"16",166.271645022,0.952380952381,1.89177489177,0,0.25,1.91666666667,0.5,0.765151515152,0.333333333333,208.946969697,0,1.25,0.75,1.14285714286,0.333333333333,1.25757575758,0.4375,0,319.959145022,1.0,0.833333333333
"17",2.0,3.99090909091,1.38181818182,0.790909090909,1.83333333333,1.73333333333,1.92424242424,0.0909090909091,0.5,962.574242424,0.5,0.142857142857,0.666666666667,0.340909090909,0.333333333333,2.25757575758,1.0,0.790909090909,0,0.166666666667,1.45757575758
"18",0,0.666666666667,1.12,0,0.5,0.125,0,0,28.3333333333,1.25,0,0,22.0,1.0,0,0,0,179.5,0,0.5,2.0
"19",533.068506494,3.18484848485,2.91666666667,1.64285714286,0.133333333333,1.73766233766,153.108333333,72.6666666667,55.8833333333,3.0,1.0,28.25,0.383333333333,1.58333333333,0.392857142857,103.976190476,1.66666666667,0.25,57.4761904762,1.5,2.45952380952
"20",2.5,1.0,466.5,0.5,0.25,0,0,1.0,0.5,0,0,0.333333333333,0.666666666667,1.25,0,0.333333333333,2.0,0,0,0.533333333333,0
"21",0,0.333333333333,0.04,0,0.333333333333,0,0,0.666666666667,0,0,104.166666667,0,0.5,0,0,0.5,0.5,0,0,56.0,0
"22",1.47619047619,0.333333333333,0.04,13.119047619,0.5,0.97619047619,195.333333333,0.5,0,1.64285714286,53.0,19.0,0,49.4761904762,1.0,1.0,0,0,7.33333333333,22.7761904762,0.833333333333
"Y",0,0,0,1.0,0,0,0,0,1.90909090909,0.5,0,0,0.333333333333,0,0,0,0.909090909091,0.375,0,0,7.19807692308
"X",61.9523809524,2.34126984127,15.0476190476,2.21428571429,3.51587301587,2.01587301587,2.61507936508,3.75,2.26587301587,3.33333333333,0.333333333333,8.04761904762,0.166666666667,3.90873015873,1.47777777778,2.28174603175,1.75,6.7996031746,0.166666666667,3.5,437.776526252
