"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",24,8,10,9,3,0,3,6,9,4,7,19,1143,11,4,323,5,7,9,1,3,22
"2",9,6,11,7,2,5,9,5,301,2,3,6,6,551,3,4,2,4,0,0,2,7
"3",8,9,4,10,1,29,199,3,5,205,2,4,50,69,5,1,2,0,2,0,1,11
"4",10,10,5,7,2,0,4,5,5,3,10,781,12,8,5,2,5,1,5,4,2,11
"5",14,196,9,4,3,1,8,3,8,3,4,8,11,6,440,2,4,2,4,2,1,12
"6",15,7,365,7,0,1,10,3,11,6,249,7,10,6,4,7,6,0,5,2,2,11
"7",9,8,33,5,3,1,8,7,6,2,8,7,4,8,1,4,568,4,3,175,0,13
"8",9,97,285,6,4,3,5,3,7,2,6,4,8,5,15,0,3,6,2,2,2,4
"9",9,6,2,3,1,0,5,4,4,1,3,9,6,5,4,119,2,442,2,1,1,4
"10",7,2,5,309,0,1,0,5,8,3,4,4,5,5,3,3,5,1,1,0,71,15
"11",8,8,11,387,5,5,9,265,48,6,7,11,8,7,5,3,9,6,3,2,85,9
"12",8,7,10,8,1,1,413,7,4,4,6,7,4,6,8,2,7,3,1,1,0,6
"13",5,524,3,4,3,4,73,4,3,0,1,4,4,4,1,2,5,1,4,1,0,7
"14",797,5,8,8,2,0,3,4,5,4,5,9,6,10,3,1,0,2,4,0,1,9
"15",459,4,5,3,4,3,4,3,8,3,2,3,7,3,0,1,1,1,3,1,0,4
"16",4,2,4,2,1,0,2,1,3,0,2,2,5,4,0,5,3,20,751,0,0,5
"17",4,2,2,0,2,0,2,154,3,1,0,1,3,4,0,2,5,1,3,0,1,6
"18",5,2,2,3,2,0,0,3,229,2,3,3,0,1,4,1,5,3,2,1,0,3
"19",12,4,3,3,77,1,7,0,6,2,1,4,6,3,2,1,3,0,2,0,0,9
"20",3,4,4,5,249,164,6,1,1,2,0,2,2,2,3,3,1,0,3,2,0,3
"X",19,9,11,12,1,3,6,10,9,6,4,13,21,14,4,5,6,8,8,3,3,532
