"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",3,1,0,1,0,0,1,0,0,0,0,1,977,1,0,284,2,1,0,0,0,1
"2",0,0,0,1,0,0,1,0,269,0,1,1,0,478,1,0,1,0,0,0,0,0
"3",0,1,2,2,0,25,168,0,0,185,0,0,41,56,0,0,0,0,0,0,0,1
"4",2,1,1,0,0,0,0,0,1,0,1,695,0,0,0,0,1,0,1,1,0,1
"5",2,169,2,0,0,0,0,0,0,0,0,0,0,0,326,0,1,0,0,0,0,0
"6",1,2,329,2,0,1,2,0,1,1,215,1,1,1,1,0,0,0,1,0,1,0
"7",1,1,3,0,0,0,0,0,0,1,2,0,0,2,0,0,498,0,0,153,0,2
"8",0,85,258,0,0,0,0,0,0,0,1,0,1,0,9,0,0,1,0,0,0,1
"9",0,3,0,1,0,0,2,1,0,0,0,1,0,0,0,93,0,366,0,0,0,1
"10",2,1,0,270,0,0,0,5,0,0,1,0,1,1,0,1,0,0,0,0,46,1
"11",0,1,0,332,1,1,1,235,36,1,1,1,0,0,0,1,1,0,0,0,74,0
"12",1,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"13",1,449,0,1,1,1,56,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"14",640,1,1,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
"15",313,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1
"16",1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,664,0,0,0
"17",0,0,0,0,0,0,1,143,1,0,0,0,2,1,0,1,1,0,0,0,0,1
"18",0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",4,0,0,2,66,0,1,0,0,0,0,2,2,1,0,0,2,0,0,0,0,2
"20",3,1,0,0,196,141,1,1,0,1,0,0,0,0,2,1,1,0,1,2,0,0
"X",1,2,0,0,0,0,1,1,1,1,0,0,2,3,2,0,0,1,2,0,0,411
