"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",4,407,4,6,575,0,0,1,1,31,4,0,451,65,3,1,18,1,32,0,0
"2",1,115,0,96,1,1,3,289,9,0,234,0,0,2,33,48,0,0,0,1,1
"3",1,0,1,341,0,54,1,11,0,0,91,168,0,32,1,0,22,0,0,54,0
"4",168,1,0,1,39,1,1,53,132,0,0,0,0,0,4,0,122,0,0,254,0
"5",1,158,0,18,1,0,0,1,0,0,0,0,0,272,0,68,0,0,25,0,1
"6",40,234,1,0,1,0,0,1,16,143,1,0,1,3,0,1,55,161,0,1,2
"7",116,0,143,0,0,341,0,199,0,1,1,1,0,1,136,0,1,0,0,0,0
"8",3,37,0,1,106,1,181,0,0,0,6,0,1,0,85,120,0,0,0,0,1
"9",290,0,0,20,2,0,1,0,0,1,1,0,1,0,30,53,122,0,4,77,0
"10",0,0,422,11,0,1,180,0,0,1,45,17,0,45,0,0,1,0,7,12,0
"11",4,2,1,242,0,0,380,0,1,1,3,170,0,0,0,0,0,0,0,1,39
"12",0,1,157,0,0,0,1,0,281,0,0,0,0,0,0,0,0,0,0,0,0
"13",3,0,38,112,0,221,0,0,68,0,2,0,37,53,1,1,0,14,0,8,0
"14",570,0,139,2,0,2,0,243,0,0,0,0,2,0,0,1,0,0,0,0,0
"15",63,0,225,0,226,0,0,0,1,3,0,0,0,0,0,0,59,0,0,0,0
"16",1,2,0,0,1,0,1,0,1,861,0,0,0,0,0,1,0,0,0,0,0
"17",1,23,0,1,0,1,0,0,7,0,0,36,0,0,141,44,0,1,1,0,0
"18",0,0,0,0,0,0,0,0,24,0,0,0,22,1,0,0,0,166,0,0,0
"19",449,0,1,0,1,0,126,58,50,3,1,24,0,0,0,87,0,0,47,1,0
"20",150,0,1,0,0,2,0,0,0,188,0,0,0,1,0,2,0,0,290,0,0
"X",53,1,14,0,2,1,1,3,0,3,0,2,0,0,0,0,1,3,0,3,401
