"1","2","3","4","5","6","LGb","LGc","LGa","LGf","LGh","LGg"
"1",64,50,688,12,648,5,0,0,0,0,0,0
"2",799,38,2,30,6,0,0,0,0,1,0,0
"3",4,13,1,410,3,59,0,0,0,0,0,0
"4",3,22,13,21,351,41,0,0,0,0,0,0
"5",540,45,8,5,4,5,0,0,0,0,0,0
"6",24,9,0,11,6,364,0,0,0,0,0,0
"7",189,16,1,9,0,4,0,0,0,0,0,0
"8",7,5,159,3,5,0,0,0,1,0,0,0
"9",2,2,6,2,3,0,0,0,0,0,0,0
"10",0,7,1,265,1,0,0,0,0,0,0,0
"11",2,3,268,1,2,0,0,0,0,0,0,0
"12",1,1,2,4,1,1,0,0,0,0,0,0
"13",3,4,1,32,11,0,0,50,0,0,0,0
"14",1,264,1,7,1,0,0,0,0,0,0,0
"15",32,148,1,19,5,1,0,0,0,0,0,0
"16",0,6,3,1,0,0,0,0,0,0,0,0
"17",2,1,2,2,1,2,58,0,0,0,0,0
"18",0,15,0,0,0,0,0,0,0,0,0,0
"19",1,4,2,3,1,1,0,0,0,0,0,2
"20",0,198,0,0,1,0,0,0,0,0,0,0
"21",1,6,3,2,3,0,0,1,0,0,0,0
"22",6,2,1,151,1,1,0,1,0,0,0,0
"23",0,0,1,0,0,0,0,0,0,0,3,0
"24",1,1,0,0,0,1,0,0,2,0,0,0
"25",2,0,0,1,0,0,0,0,0,0,0,0
"26",0,0,2,0,0,0,0,0,19,0,0,0
"28",3,3,0,152,1,1,0,0,0,0,0,0
"29",0,3,2,1,2,174,0,0,0,0,0,0
"30",0,2,0,0,1,1,0,0,0,0,0,0
"Z",20,323,1,5,2,2,0,0,0,12,0,0
