"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",263,1,1,5,109,13,58,165,321,1,134,1,1,44,91,2,0,34,1,0,125,6,1,107
"2",1,0,0,421,61,0,0,0,1,0,6,1,44,252,0,1,0,13,140,0,0,2,0,0
"3",24,51,1,69,6,0,0,22,3,3,1,0,139,0,0,257,0,1,1,1,0,4,0,0
"4",2,1,489,1,17,0,0,0,6,0,0,1,36,25,0,0,0,0,0,1,0,2,0,32
"5",1,0,0,1,5,0,0,0,1,391,290,0,0,11,0,1,0,0,0,0,0,0,0,0
"6",1,0,1,0,1,1,67,178,0,0,0,0,1,1,37,0,106,0,9,0,0,0,0,0
"7",0,0,0,5,0,328,0,0,3,0,0,0,0,0,22,0,5,0,1,0,13,1,0,0
"8",24,0,4,0,0,0,0,0,0,1,1,380,0,4,1,0,0,0,1,0,0,6,0,0
"9",0,0,0,0,3,0,0,1,0,0,2,0,2,0,1,2,1,0,1,0,0,0,1,167
"10",3,0,0,2,1,1,254,0,2,5,1,1,0,3,1,0,0,112,13,0,0,0,0,4
"11",1,2,1,0,3,89,0,0,1,0,1,0,0,0,83,0,139,0,0,0,7,1,0,0
"12",0,1,0,0,1,93,1,1,0,172,2,0,0,1,0,0,0,14,0,0,0,0,10,0
"13",0,0,0,0,0,1,1,0,0,1,5,0,0,0,1,0,0,0,0,236,0,31,0,0
"14",17,3,0,0,0,0,0,0,0,1,1,0,0,0,242,0,0,0,0,0,0,0,0,2
"15",1,238,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,64,0,0,24,0,0,1,1,0,0,201,1,1,0,1,1,0,0,0,0,1,1,1
"17",91,0,0,0,0,1,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"19",203,0,0,1,0,1,0,0,1,0,0,4,0,0,1,1,0,3,0,0,0,1,0,1
"20",0,0,0,0,209,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
"21",3,51,0,0,156,3,1,0,0,1,1,2,0,0,0,0,3,1,0,0,0,0,0,1
"22",1,0,1,3,242,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"23",0,0,0,0,1,0,180,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"24",0,0,0,0,9,0,0,0,0,0,0,0,59,12,0,0,0,0,0,0,0,0,0,0
"25",0,1,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,1,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,1,0,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,0,0,0,1,0,0
"28",1,0,0,37,0,0,48,1,0,0,0,1,0,0,0,0,0,0,69,0,0,0,0,0
"29",0,0,0,0,133,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",2,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,141,0,0
"Z",177,209,9,1,0,0,1,1,0,4,0,1,34,1,0,0,0,1,0,0,0,1,0,1
