"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","X"
"1",17,58,19,12,48,7,33,6,11,322,6,15,12,77,109,72,42,61,6,20,135,163,8,1,99,10,235,2,5,2,152,7,122,5,47,3,1,5,191
"2",210,4,2,52,5,1,100,4,4,93,1,290,2,2,4,7,198,5,3,3,5,2,19,57,45,0,2,3,0,4,3,1,3,2,1,1,3,33,8
"3",61,4,6,15,3,1,106,6,7,3,26,2,144,5,1,12,2,13,0,3,2,2,1,2,0,0,4,0,145,2,0,4,1,41,88,0,1,0,9
"4",6,5,141,5,2,2,1,4,0,1,0,2,97,2,75,81,32,1,51,4,1,0,3,21,21,0,8,1,2,2,0,143,2,0,0,0,1,0,43
"5",6,2,5,2,2,8,0,403,0,3,7,3,2,2,2,2,19,242,0,0,108,4,2,5,2,2,1,1,2,80,0,1,0,3,3,0,1,1,12
"6",4,75,1,2,5,1,1,1,5,5,8,0,4,147,0,32,0,37,0,34,1,1,130,1,1,2,1,1,1,0,0,0,0,0,2,0,3,0,1
"7",2,1,1,0,0,0,1,0,0,1,1,5,0,1,1,0,0,2,73,1,1,0,5,1,33,3,4,1,0,1,13,0,27,0,0,117,156,0,4
"8",0,0,4,139,0,0,0,2,11,5,8,0,1,1,1,2,4,1,2,7,3,10,0,0,0,20,0,284,0,1,2,7,0,0,0,0,0,1,2
"9",2,2,0,0,2,0,1,1,0,2,0,0,4,0,0,1,1,0,1,2,4,1,1,0,5,1,7,0,0,0,2,1,2,0,2,0,1,1,197
"10",3,0,0,0,64,134,104,5,1,2,1,2,2,0,84,0,12,0,0,0,1,0,2,2,0,0,1,0,1,1,0,0,0,0,0,0,0,30,7
"11",2,1,0,0,1,3,1,0,0,1,0,1,0,2,0,2,0,2,14,2,0,2,98,1,70,3,2,0,0,0,7,1,33,119,0,0,13,0,4
"12",2,0,119,0,0,3,0,1,1,0,0,1,5,0,0,1,1,1,1,0,0,1,1,2,2,2,2,0,1,221,0,1,0,1,0,2,0,2,2
"13",35,63,1,0,187,0,3,0,0,1,0,1,1,0,9,0,0,10,0,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2
"14",19,6,2,1,2,3,4,1,0,1,0,1,0,1,2,0,3,1,0,271,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,5
"15",0,46,2,146,1,0,1,0,0,1,85,0,1,0,1,1,3,0,1,1,0,1,0,1,1,0,0,0,0,1,0,3,0,1,2,0,1,0,3
"16",3,0,1,3,33,298,1,0,2,0,1,0,2,2,1,2,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"17",1,0,0,0,2,1,1,0,0,3,0,0,2,0,0,1,1,0,0,0,0,0,1,0,1,311,1,0,0,0,2,1,0,1,0,0,0,0,5
"18",0,0,0,0,0,0,0,0,2,0,4,3,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",3,5,2,2,2,2,4,2,201,1,34,4,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,2,0,0,0,0,1,0,0,1,0,1,5
"20",2,1,0,1,31,2,3,4,219,2,2,0,2,2,2,0,0,0,2,0,1,3,3,0,0,3,2,0,1,1,0,1,0,3,2,1,0,0,3
"21",0,0,0,1,39,73,1,3,159,0,2,2,0,3,1,0,0,1,1,2,4,1,1,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,3
"22",0,1,2,2,0,0,2,0,0,1,1,3,1,1,1,1,0,29,1,3,0,0,0,288,0,0,0,0,1,3,0,0,0,0,1,0,0,0,1
"23",0,99,0,1,102,0,0,0,0,0,0,0,1,0,10,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,2,1,4,0,0,0,0,3
"24",0,0,0,1,0,2,0,0,4,9,0,0,0,0,0,41,3,0,1,0,0,2,0,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"25",2,113,0,2,0,3,0,0,1,0,0,1,2,1,58,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"26",1,0,0,0,139,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"27",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,34,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",1,0,0,2,0,22,52,2,1,0,1,52,0,0,1,0,34,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,32,1
"29",1,1,0,0,1,1,4,1,178,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,1,0,2
"30",0,0,2,3,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,170,0,1,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,3
"Z",104,62,108,68,4,2,37,34,1,0,171,2,2,3,4,7,4,1,1,10,1,0,1,2,1,0,3,0,0,1,4,3,1,1,1,0,0,0,15
