"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",59,49,116,0,1,6,171,3,1,44,140,382,239,0,11,0,5,0,11,0,115,185,0,114
"2",166,265,0,0,1,439,0,46,0,1,5,0,0,0,0,0,2,0,3,63,0,0,0,0
"3",2,0,0,3,55,78,24,278,25,0,1,2,0,1,2,1,7,149,4,0,0,0,0,0
"4",1,28,0,515,1,2,0,38,1,0,0,7,0,0,0,1,1,0,2,17,0,1,0,33
"5",0,12,0,0,0,1,0,1,1,0,320,0,0,355,76,0,1,0,1,3,0,0,0,0
"6",8,0,153,0,0,0,185,1,1,72,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"7",1,355,28,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,1,0,13,0,0,0
"8",1,5,0,3,0,0,0,0,16,409,2,0,10,1,0,0,0,0,7,0,0,0,0,0
"9",1,1,1,0,0,0,0,3,1,0,2,0,3,0,0,0,0,2,0,0,0,0,0,182
"10",408,3,0,0,0,1,0,0,3,0,1,2,0,5,1,2,0,0,0,1,0,0,0,4
"11",0,95,236,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,1,1,7,0,0,0
"12",1,3,0,0,0,2,2,0,0,0,1,0,0,0,321,0,0,0,0,1,0,0,0,0
"13",2,1,1,0,0,0,0,1,0,0,4,0,0,1,0,255,0,0,33,0,0,0,0,0
"14",0,0,252,0,4,0,0,0,17,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
"15",0,1,0,0,252,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"16",0,1,1,0,0,0,71,1,0,2,0,0,0,0,0,217,31,1,1,0,0,0,0,2
"17",0,1,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,109,0,0
"18",1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"19",2,1,1,0,0,2,0,0,218,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"20",0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,233,0,0,0,0,0,0,0
"21",1,3,0,0,0,0,63,0,2,0,1,0,0,1,0,2,185,0,0,0,0,0,0,1
"22",0,0,0,1,0,3,0,1,0,0,1,0,0,0,2,0,0,0,0,268,0,1,0,0
"23",201,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"24",0,11,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"25",173,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,134,0,1,0,0,0,0,0,1,0,0,0,0,0
"27",44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"28",123,1,0,0,0,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"29",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,154,0,1,0,0,0,0,0
"30",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,164,0,0,0,0,0
"Z",1,2,0,11,219,0,1,6,190,1,0,0,0,3,1,1,0,32,2,0,0,0,0,1
