"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","X"
"1",54,113,261,6,0,1,13,1,40,174,360,1,44,131,1,5,218,0,7,0,100
"2",158,0,0,415,0,0,0,41,1,59,0,0,244,6,0,2,0,0,3,0,0
"3",2,0,20,77,0,52,2,255,0,0,3,0,0,1,20,6,0,136,4,1,0
"4",31,0,0,1,460,1,0,35,0,14,7,0,26,0,1,1,0,0,2,1,27
"5",0,0,0,1,0,0,397,0,0,2,0,0,12,296,1,1,1,0,0,2,1
"6",9,144,164,0,0,1,0,1,71,1,0,0,1,0,1,1,0,1,0,0,0
"7",1,25,14,5,0,0,1,0,0,0,3,294,37,0,0,0,0,0,1,0,0
"8",1,0,0,0,3,0,1,0,385,0,0,0,5,2,14,0,10,0,6,0,0
"9",1,1,0,0,0,0,0,2,0,0,0,1,0,2,1,0,2,1,0,0,178
"10",391,0,0,1,0,0,7,0,0,1,1,0,2,1,2,1,0,0,0,1,4
"11",0,215,8,0,0,1,0,1,0,1,1,72,15,0,0,2,0,0,0,0,0
"12",2,0,2,1,0,0,300,0,0,1,0,1,1,1,1,0,0,0,0,0,0
"13",1,1,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,31,236,0
"14",1,203,0,0,0,3,1,0,0,0,34,0,0,1,15,0,0,0,0,0,2
"15",0,0,0,1,1,240,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,1,66,0,0,0,0,1,2,0,1,0,1,0,1,31,0,1,2,201,1
"17",0,1,0,0,0,0,0,0,0,92,156,0,0,0,0,1,0,0,0,0,0
"18",1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"19",2,1,0,1,0,0,0,0,3,0,0,1,0,0,207,0,0,0,2,1,1
"20",1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,211,0,0,0,0,0
"21",1,0,48,1,0,0,1,0,0,0,0,3,0,1,2,162,0,0,0,2,1
"22",0,0,0,3,1,0,2,1,0,246,1,0,0,0,1,0,0,0,0,0,0
"23",179,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"24",0,0,0,0,0,0,0,61,0,9,0,0,11,0,0,0,0,0,0,0,0
"25",149,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,1,0,1,0,0
"27",42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"28",120,0,0,43,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"29",1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,141,0,0,0,0,0
"30",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,151,0,0
"Z",11,0,1,1,0,202,3,5,1,0,0,0,3,0,177,0,0,30,0,0,1
