"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Y","X"
"1",19,9,66,102,591,11,33,8,267,55,311,3,260,16,7,8,1,157,9,132
"2",437,8,334,22,2,2,122,3,46,82,0,2,4,91,25,1,72,0,0,3
"3",89,6,0,302,6,106,84,7,25,6,0,6,6,2,5,45,4,7,0,2
"4",3,9,37,1,8,2,3,542,1,2,3,1,2,26,59,4,51,0,0,45
"5",203,354,21,2,2,3,307,0,23,1,0,0,0,1,2,0,5,1,0,12
"6",6,21,5,7,4,7,3,4,128,81,0,5,192,2,7,1,1,113,0,5
"7",3,5,1,0,6,1,8,0,2,1,1,0,46,3,421,0,0,2,0,2
"8",13,7,8,7,2,2,2,14,3,0,11,0,0,468,2,1,0,0,0,1
"9",3,1,1,4,0,7,1,6,5,3,5,0,4,1,1,0,1,1,0,203
"10",8,1,8,138,3,175,0,0,80,25,1,1,0,0,0,1,1,0,0,6
"11",0,5,2,2,1,2,0,0,2,0,0,3,266,2,102,0,1,1,0,1
"12",245,1,2,3,0,1,144,0,0,0,0,0,0,1,1,0,1,0,0,2
"13",0,9,0,1,1,223,2,0,0,1,0,0,2,0,1,0,7,0,0,1
"14",0,6,22,7,0,0,6,4,1,0,0,0,283,1,0,0,0,0,0,3
"15",3,187,4,0,0,0,3,6,0,0,0,1,1,0,0,98,0,0,0,1
"16",1,0,281,2,0,3,0,1,3,8,0,11,1,2,0,0,0,0,0,3
"17",0,0,0,0,1,0,0,0,1,0,0,0,1,304,1,0,0,0,0,0
"18",0,8,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
"19",213,1,2,3,0,1,5,0,5,1,0,1,2,4,1,0,0,0,0,0
"20",0,0,3,0,0,0,1,0,6,2,0,239,2,0,1,1,0,0,0,0
"21",2,1,75,1,0,3,4,1,8,1,1,189,2,0,5,1,0,7,0,0
"22",11,38,0,0,2,4,4,1,0,0,0,0,1,1,0,0,272,1,0,0
"23",2,0,0,1,0,195,0,1,3,0,2,2,4,2,0,0,0,1,0,2
"24",0,0,13,0,0,0,0,0,0,0,0,2,0,34,28,1,28,0,0,0
"25",2,0,2,3,0,148,1,0,0,0,0,0,1,1,1,0,1,0,0,0
"26",0,1,0,0,0,1,0,0,146,0,3,0,1,0,1,0,0,0,0,0
"27",0,1,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2,3,2,56,1,2,55,1,57,21,0,0,1,2,0,0,0,2,0,0
"29",0,1,0,0,3,0,3,0,3,2,0,163,0,0,0,0,0,2,0,1
"30",1,149,2,0,1,0,3,0,1,0,0,1,0,0,1,0,0,0,0,4
"W",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"Z",223,164,3,5,3,14,5,10,5,62,0,0,7,11,6,129,4,1,0,11
