"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","X"
"1",6.04761904762,4.85787545788,8.35,17.3523809524,4.95833333333,5.4,272.678835979,137.183333333,4.33333333333,626.966666667,611.25,2.06666666667,392.958333333,4.64285714286,7.55,2.61111111111,3.85,328.080408916,7.45,32.2111111111,361.514285714,7.5989010989,3.33333333333,0.5,3.975,274.25,69.7682926829,157.625,2.0,7.66931216931
"2",54.6166666667,25.3928571429,729.013888889,1.77182539683,7.69444444444,3.83333333333,32.7999338624,4.40178571429,359.527777778,4.22777777778,3.7,1.33333333333,2.9375,2.25396825397,1.75,341.107142857,3.83333333333,4.19278172808,760.066666667,2.95,1.58333333333,2.34706959707,314.255555556,2.25,109.7625,1.0,2.5243902439,48.8125,1.5,6.25694444444
"3",7.15277777778,6.51282051282,4.72222222222,2.56349206349,5.31944444444,2.75,470.136309524,10.1517857143,1.88888888889,49.3098039216,5.43333333333,0.888888888889,3.3244047619,341.529365079,2.90476190476,3.66666666667,289.021428571,9.41338013838,4.96666666667,206.0,5.08333333333,2.84981684982,93.6944444444,211.444444444,5.08630952381,0,2.09756097561,1.13988095238,3.11574074074,7.50787037037
"4",291.477777778,471.053113553,99.7222222222,2.86904761905,2.33333333333,2.83333333333,9.46173280423,2.54464285714,2.81587301587,3.56587301587,2.76666666667,127.855555556,2.65892857143,1.90476190476,329.630952381,114.75,1.97916666667,260.181207654,2.13333333333,2.35,3.11666666667,5.71794871795,5.81428571429,0.861111111111,3.02083333333,1.75,0.75,0.53869047619,119.438888889,66.5487433862
"5",1.39285714286,1.0,2.09090909091,1.75,3.99166666667,409.767099567,4.6920995671,18.5,1.98376623377,0.924242424242,21.0928571429,0.92619047619,19.5178571429,1.26948051948,241.628246753,1.84090909091,103.833333333,0.842796092796,1.8,2.22272727273,1.8170995671,0.753246753247,2.66666666667,3.09090909091,2.33333333333,2.45,73.7093495935,4.83333333333,93.3055555556,5.88174603175
"6",2.2119047619,1.67023809524,2.24285714286,63.6166666667,1.94444444444,0.5,31.0909090909,312.980952381,0.25,9.28333333333,1.76666666667,0.5,1.56666666667,1.61111111111,3.41666666667,1.5,1.03333333333,4.09819347319,40.75,0.266666666667,0.861904761905,341.214285714,0.25,1.83333333333,425.069047619,0.5,1.0243902439,0.5,1.5,8.63253968254
"7",193.711904762,163.969047619,27.25,2.45,1.83333333333,0.916666666667,1.09259259259,0.547619047619,3.33333333333,1.77777777778,52.4166666667,130.55,1.08333333333,1.82142857143,0.321428571429,0.833333333333,2.375,2.58703703704,11.5,0,4.7369047619,0.967948717949,1.1,1.08333333333,2.5,1.0,1.93089430894,0,1.25,66.7552910053
"8",40.6995421245,3.05595238095,1.61111111111,373.797222222,553.978282828,0.2,3.10481481481,0.666666666667,1.5,3.20277777778,3.33333333333,1.5,128.08974359,2.12896825397,1.33333333333,1.77777777778,0,2.64523809524,5.33333333333,0.111111111111,1.70595238095,59.2733516484,1.26666666667,0,1.66666666667,0.625,10.3577235772,0.541666666667,79.2583333333,10.3035714286
"Un",16.0142857143,9.26428571429,23.0416666667,37.45,99.0050505051,2.03333333333,14.7402645503,8.52380952381,2.00555555556,4.39019607843,22.4666666667,0.5,4.0,0.961111111111,4.93831168831,14.3095238095,21.5,52.667849362,29.0,1.33333333333,1.18095238095,7.75091575092,1.33333333333,0,4.16666666667,10.0,0.670731707317,12.25,64.9314814815,29.0433862434
"X",2.00833333333,4.76666666667,0.666666666667,1.85,2.5,2.0,3.93253968254,3.40476190476,0.912337662338,2.27976190476,1.7,1.5,1.3880952381,2.89404761905,3.5,0.111111111111,1.43181818182,3.43333333333,3.09090909091,0.861111111111,0.875,0.333333333333,1.07142857143,3.16666666667,0.666666666667,1.0,1.5,0,1.34166666667,267.132792208
