"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Y","X"
"1",244,280,0,2,365,106,1,19,3,742,6,408,149,372,2,1,0,14,2,271,0,33,10,3
"2",6,97,1,599,674,56,358,1,2,1,0,2,1,1,29,0,5,388,265,0,13,1,0,4
"3",103,312,2,83,2,3,0,2,161,0,2,0,199,2,1,325,1,1,0,0,1,339,0,0
"4",31,2,2,4,88,241,369,0,1,0,404,0,2,0,126,1,47,0,2,1,95,219,0,56
"5",1,0,542,1,17,0,0,0,0,0,327,0,35,17,0,0,0,0,1,1,0,0,0,0
"6",285,91,0,0,30,1,0,62,2,0,2,305,0,3,287,1,30,1,8,1,0,7,1,4
"7",108,1,0,1,31,185,2,0,1,0,0,0,0,49,45,0,115,2,0,0,16,0,1,62
"8",113,1,2,0,4,0,111,356,332,1,72,0,0,2,26,0,72,0,1,0,0,2,0,2
"Un",43,0,1,0,19,6,34,33,57,0,64,23,0,14,13,0,2,0,0,0,4,50,0,23
"X",1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,239
