"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","X"
"1",75,182,154,336,234,12,14,532,269,143,158,26,32,8,73,93,412,11,11,26,39,11,21,424,102,28,9,326,10,353,2,9,17,10,5,4,8,6,42
"2",232,5,7,79,222,319,435,14,717,10,24,526,19,23,109,13,187,7,8,17,3,8,11,7,75,7,20,3,5,3,20,8,13,43,29,7,9,207,29
"3",147,88,118,117,21,18,156,21,22,17,33,8,242,8,8,12,9,29,15,824,7,6,10,6,7,354,11,0,172,8,9,11,20,52,116,5,1,2,40
"4",396,275,6,21,423,19,8,9,5,8,13,17,26,30,99,4,11,2,93,21,360,39,45,4,103,4,7,5,6,5,131,10,170,6,22,139,51,0,111
"5",21,7,160,14,4,5,5,3,9,9,8,8,122,17,74,97,23,664,55,10,150,1,3,24,23,2,4,6,2,4,0,158,8,3,1,2,0,1,15
"6",123,1,11,14,54,481,6,8,13,8,286,3,12,44,3,12,6,44,1,331,6,3,45,2,3,2,6,3,1,1,4,1,10,1,1,2,1,0,24
"7",14,1,17,11,17,4,3,2,5,63,5,3,16,4,3,7,5,4,3,8,6,144,86,3,52,4,6,1,3,1,14,3,53,100,4,3,183,1,95
"8",13,142,28,13,7,7,2,6,11,237,5,4,9,207,111,201,6,136,2,24,2,4,98,5,4,1,307,2,5,5,3,2,5,5,4,1,2,0,52
"Un",207,9,67,20,39,18,3,8,31,89,7,9,11,36,4,12,23,88,0,52,6,1,2,7,6,23,35,12,2,2,6,3,13,4,0,4,2,13,44
"X",9,5,13,8,5,0,9,5,4,4,4,0,6,3,6,6,12,6,3,7,1,2,1,1,5,2,9,2,4,0,0,6,1,4,1,0,0,0,338
